,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.32367347645229594,0.0,0.0
15,2020-03-16,2.0,0.0,0.0,0.6473469529045919,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,0.6473469529045919,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,0.6473469529045919,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,1.2946939058091838,0.0,0.0
19,2020-03-20,6.0,0.0,0.0,1.9420408587137756,0.0,0.0
20,2020-03-21,8.0,0.0,0.0,2.5893878116183675,0.0,0.0
21,2020-03-22,10.0,0.0,0.0,3.2367347645229594,0.0,0.0
22,2020-03-23,12.0,0.0,0.0,3.8840817174275513,0.0,0.0
23,2020-03-24,12.0,0.0,0.0,3.8840817174275513,0.0,0.0
24,2020-03-25,13.0,0.0,1.0,4.207755193879847,0.0,0.32367347645229594
25,2020-03-26,15.0,0.0,1.0,4.855102146784439,0.0,0.32367347645229594
26,2020-03-27,18.0,0.0,1.0,5.8261225761413264,0.0,0.32367347645229594
27,2020-03-28,23.0,0.0,1.0,7.444489958402807,0.0,0.32367347645229594
28,2020-03-29,24.0,0.0,2.0,7.7681634348551025,0.0,0.6473469529045919
29,2020-03-30,28.0,0.0,2.0,9.062857340664285,0.0,0.6473469529045919
30,2020-03-31,40.0,0.0,2.0,12.946939058091838,0.0,0.6473469529045919
31,2020-04-01,50.0,0.0,2.0,16.183673822614793,0.0,0.6473469529045919
32,2020-04-02,52.0,0.0,2.0,16.831020775519388,0.0,0.6473469529045919
33,2020-04-03,70.0,0.0,2.0,22.657143351660714,0.0,0.6473469529045919
34,2020-04-04,79.0,0.0,2.0,25.570204639731376,0.0,0.6473469529045919
35,2020-04-05,78.0,1.0,2.0,25.246531163279084,0.32367347645229594,0.6473469529045919
36,2020-04-06,78.0,2.0,2.0,25.246531163279084,0.6473469529045919,0.6473469529045919
37,2020-04-07,80.0,3.0,2.0,25.893878116183675,0.9710204293568878,0.6473469529045919
38,2020-04-08,91.0,4.0,2.0,29.45428635715893,1.2946939058091838,0.6473469529045919
39,2020-04-09,92.0,4.0,2.0,29.777959833611227,1.2946939058091838,0.6473469529045919
40,2020-04-10,100.0,5.0,2.0,32.367347645229586,1.6183673822614797,0.6473469529045919
41,2020-04-11,99.0,7.0,2.0,32.043674168777294,2.2657143351660713,0.6473469529045919
42,2020-04-12,100.0,7.0,2.0,32.367347645229586,2.2657143351660713,0.6473469529045919
43,2020-04-13,100.0,8.0,2.0,32.367347645229586,2.5893878116183675,0.6473469529045919
44,2020-04-14,98.0,10.0,2.0,31.720000692325,3.2367347645229594,0.6473469529045919
45,2020-04-15,99.0,13.0,2.0,32.043674168777294,4.207755193879847,0.6473469529045919
46,2020-04-16,102.0,16.0,2.0,33.014694598134184,5.178775623236735,0.6473469529045919
47,2020-04-17,96.0,23.0,2.0,31.07265373942041,7.444489958402807,0.6473469529045919
48,2020-04-18,95.0,25.0,2.0,30.74898026296811,8.091836911307396,0.6473469529045919
49,2020-04-19,93.0,27.0,2.0,30.10163331006352,8.73918386421199,0.6473469529045919
50,2020-04-20,82.0,39.0,2.0,26.541225069088267,12.623265581639542,0.6473469529045919
51,2020-04-21,81.0,42.0,2.0,26.21755159263597,13.594286010996429,0.6473469529045919
52,2020-04-22,79.0,48.0,2.0,25.570204639731376,15.536326869710205,0.6473469529045919
53,2020-04-23,73.0,54.0,2.0,23.6281637810176,17.47836772842398,0.6473469529045919
54,2020-04-24,71.0,56.0,2.0,22.98081682811301,18.12571468132857,0.6473469529045919
55,2020-04-25,69.0,59.0,2.0,22.33346987520842,19.096735110685458,0.6473469529045919
56,2020-04-26,68.0,60.0,2.0,22.009796398756123,19.420408587137757,0.6473469529045919
57,2020-04-27,70.0,60.0,2.0,22.657143351660714,19.420408587137757,0.6473469529045919
58,2020-04-28,69.0,61.0,2.0,22.33346987520842,19.744082063590053,0.6473469529045919
59,2020-04-29,66.0,64.0,2.0,21.36244944585153,20.71510249294694,0.6473469529045919
60,2020-04-30,64.0,67.0,2.0,20.71510249294694,21.686122922303827,0.6473469529045919
61,2020-05-01,64.0,67.0,2.0,20.71510249294694,21.686122922303827,0.6473469529045919
62,2020-05-02,64.0,67.0,2.0,20.71510249294694,21.686122922303827,0.6473469529045919
63,2020-05-03,64.0,67.0,2.0,20.71510249294694,21.686122922303827,0.6473469529045919
64,2020-05-04,64.0,67.0,2.0,20.71510249294694,21.686122922303827,0.6473469529045919
65,2020-05-05,58.0,73.0,2.0,18.773061634233166,23.6281637810176,0.6473469529045919
66,2020-05-06,54.0,80.0,2.0,17.47836772842398,25.893878116183675,0.6473469529045919
67,2020-05-07,49.0,85.0,2.0,15.8600003461625,27.51224549844515,0.6473469529045919
68,2020-05-08,50.0,85.0,2.0,16.183673822614793,27.51224549844515,0.6473469529045919
69,2020-05-09,50.0,85.0,2.0,16.183673822614793,27.51224549844515,0.6473469529045919
70,2020-05-10,49.0,86.0,2.0,15.8600003461625,27.835918974897453,0.6473469529045919
71,2020-05-11,45.0,90.0,2.0,14.565306440353314,29.13061288070663,0.6473469529045919
72,2020-05-12,43.0,92.0,2.0,13.917959487448726,29.777959833611227,0.6473469529045919
73,2020-05-13,39.0,96.0,2.0,12.623265581639542,31.07265373942041,0.6473469529045919
74,2020-05-14,29.0,106.0,2.0,9.386530817116583,34.30938850394337,0.6473469529045919
75,2020-05-15,23.0,112.0,2.0,7.444489958402807,36.25142936265714,0.6473469529045919
76,2020-05-16,22.0,113.0,2.0,7.12081648195051,36.57510283910944,0.6473469529045919
77,2020-05-17,21.0,114.0,2.0,6.7971430054982145,36.89877631556173,0.6473469529045919
78,2020-05-18,19.0,116.0,2.0,6.149796052593622,37.54612326846633,0.6473469529045919
79,2020-05-19,17.0,118.0,3.0,5.502449099689031,38.193470221370916,0.9710204293568878
80,2020-05-20,14.0,121.0,3.0,4.531428670332143,39.16449065072781,0.9710204293568878
81,2020-05-21,14.0,122.0,3.0,4.531428670332143,39.488164127180106,0.9710204293568878
82,2020-05-22,15.0,123.0,3.0,4.855102146784439,39.8118376036324,0.9710204293568878
83,2020-05-23,14.0,123.0,4.0,4.531428670332143,39.8118376036324,1.2946939058091838
84,2020-05-24,14.0,123.0,4.0,4.531428670332143,39.8118376036324,1.2946939058091838
85,2020-05-25,12.0,125.0,4.0,3.8840817174275513,40.45918455653699,1.2946939058091838
86,2020-05-26,11.0,126.0,4.0,3.560408240975255,40.78285803298929,1.2946939058091838
87,2020-05-27,9.0,128.0,4.0,2.9130612880706632,41.43020498589388,1.2946939058091838
88,2020-05-28,9.0,129.0,4.0,2.9130612880706632,41.75387846234617,1.2946939058091838
89,2020-05-29,9.0,129.0,4.0,2.9130612880706632,41.75387846234617,1.2946939058091838
90,2020-05-30,9.0,129.0,4.0,2.9130612880706632,41.75387846234617,1.2946939058091838
91,2020-05-31,9.0,129.0,4.0,2.9130612880706632,41.75387846234617,1.2946939058091838
92,2020-06-01,9.0,129.0,4.0,2.9130612880706632,41.75387846234617,1.2946939058091838
93,2020-06-02,8.0,129.0,5.0,2.5893878116183675,41.75387846234617,1.6183673822614797
94,2020-06-03,7.0,130.0,5.0,2.2657143351660713,42.07755193879847,1.6183673822614797
95,2020-06-04,5.0,132.0,5.0,1.6183673822614797,42.72489889170306,1.6183673822614797
96,2020-06-05,5.0,133.0,5.0,1.6183673822614797,43.048572368155355,1.6183673822614797
97,2020-06-06,5.0,133.0,5.0,1.6183673822614797,43.048572368155355,1.6183673822614797
98,2020-06-07,5.0,133.0,5.0,1.6183673822614797,43.048572368155355,1.6183673822614797
99,2020-06-08,5.0,133.0,5.0,1.6183673822614797,43.048572368155355,1.6183673822614797
100,2020-06-09,5.0,133.0,5.0,1.6183673822614797,43.048572368155355,1.6183673822614797
101,2020-06-10,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
102,2020-06-11,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
103,2020-06-12,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
104,2020-06-13,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
105,2020-06-14,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
106,2020-06-15,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
107,2020-06-16,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
108,2020-06-17,5.0,134.0,5.0,1.6183673822614797,43.372245844607654,1.6183673822614797
109,2020-06-18,3.0,136.0,5.0,0.9710204293568878,44.019592797512246,1.6183673822614797
110,2020-06-19,3.0,136.0,5.0,0.9710204293568878,44.019592797512246,1.6183673822614797
111,2020-06-20,4.0,136.0,5.0,1.2946939058091838,44.019592797512246,1.6183673822614797
112,2020-06-21,3.0,137.0,5.0,0.9710204293568878,44.34326627396454,1.6183673822614797
113,2020-06-22,4.0,137.0,5.0,1.2946939058091838,44.34326627396454,1.6183673822614797
114,2020-06-23,4.0,137.0,5.0,1.2946939058091838,44.34326627396454,1.6183673822614797
115,2020-06-24,4.0,138.0,5.0,1.2946939058091838,44.66693975041684,1.6183673822614797
116,2020-06-25,4.0,138.0,5.0,1.2946939058091838,44.66693975041684,1.6183673822614797
117,2020-06-26,10.0,138.0,5.0,3.2367347645229594,44.66693975041684,1.6183673822614797
118,2020-06-27,11.0,138.0,5.0,3.560408240975255,44.66693975041684,1.6183673822614797
119,2020-06-28,11.0,138.0,5.0,3.560408240975255,44.66693975041684,1.6183673822614797
120,2020-06-29,11.0,138.0,5.0,3.560408240975255,44.66693975041684,1.6183673822614797
