,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
14,2020-03-15,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
15,2020-03-16,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
18,2020-03-19,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
19,2020-03-20,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
20,2020-03-21,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
21,2020-03-22,2.0,0.0,0.0,0.9295258924207406,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,1.3942888386311107,0.0,0.0
23,2020-03-24,4.0,0.0,0.0,1.8590517848414811,0.0,0.0
24,2020-03-25,4.0,0.0,0.0,1.8590517848414811,0.0,0.0
25,2020-03-26,5.0,0.0,0.0,2.323814731051851,0.0,0.0
26,2020-03-27,6.0,0.0,0.0,2.7885776772622215,0.0,0.0
27,2020-03-28,9.0,0.0,0.0,4.182866515893331,0.0,0.0
28,2020-03-29,10.0,0.0,0.0,4.647629462103702,0.0,0.0
29,2020-03-30,9.0,1.0,0.0,4.182866515893331,0.4647629462103703,0.0
30,2020-03-31,9.0,1.0,0.0,4.182866515893331,0.4647629462103703,0.0
31,2020-04-01,14.0,1.0,0.0,6.506681246945184,0.4647629462103703,0.0
32,2020-04-02,15.0,1.0,0.0,6.971444193155554,0.4647629462103703,0.0
33,2020-04-03,23.0,1.0,0.0,10.689547762838515,0.4647629462103703,0.0
34,2020-04-04,25.0,2.0,0.0,11.619073655259255,0.9295258924207406,0.0
35,2020-04-05,27.0,2.0,0.0,12.548599547679997,0.9295258924207406,0.0
36,2020-04-06,32.0,2.0,0.0,14.87241427873185,0.9295258924207406,0.0
37,2020-04-07,32.0,2.0,0.0,14.87241427873185,0.9295258924207406,0.0
38,2020-04-08,38.0,2.0,0.0,17.660991955994067,0.9295258924207406,0.0
39,2020-04-09,38.0,3.0,0.0,17.660991955994067,1.3942888386311107,0.0
40,2020-04-10,39.0,3.0,0.0,18.125754902204438,1.3942888386311107,0.0
41,2020-04-11,40.0,3.0,0.0,18.59051784841481,1.3942888386311107,0.0
42,2020-04-12,39.0,4.0,0.0,18.125754902204438,1.8590517848414811,0.0
43,2020-04-13,37.0,6.0,0.0,17.1962290097837,2.7885776772622215,0.0
44,2020-04-14,36.0,7.0,0.0,16.731466063573325,3.253340623472592,0.0
45,2020-04-15,35.0,8.0,0.0,16.266703117362958,3.7181035696829623,0.0
46,2020-04-16,34.0,9.0,0.0,15.801940171152589,4.182866515893331,0.0
47,2020-04-17,32.0,11.0,0.0,14.87241427873185,5.112392408314072,0.0
48,2020-04-18,32.0,11.0,0.0,14.87241427873185,5.112392408314072,0.0
49,2020-04-19,29.0,14.0,0.0,13.478125440100735,6.506681246945184,0.0
50,2020-04-20,24.0,19.0,0.0,11.154310709048886,8.830495977997034,0.0
51,2020-04-21,21.0,23.0,0.0,9.760021870417775,10.689547762838515,0.0
52,2020-04-22,19.0,26.0,0.0,8.830495977997034,12.083836601469626,0.0
53,2020-04-23,15.0,30.0,0.0,6.971444193155554,13.942888386311107,0.0
54,2020-04-24,12.0,33.0,0.0,5.577155354524443,15.337177224942216,0.0
55,2020-04-25,10.0,35.0,0.0,4.647629462103702,16.266703117362958,0.0
56,2020-04-26,10.0,35.0,0.0,4.647629462103702,16.266703117362958,0.0
57,2020-04-27,9.0,36.0,0.0,4.182866515893331,16.731466063573325,0.0
58,2020-04-28,8.0,37.0,0.0,3.7181035696829623,17.1962290097837,0.0
59,2020-04-29,8.0,37.0,0.0,3.7181035696829623,17.1962290097837,0.0
60,2020-04-30,6.0,39.0,0.0,2.7885776772622215,18.125754902204438,0.0
61,2020-05-01,6.0,39.0,0.0,2.7885776772622215,18.125754902204438,0.0
62,2020-05-02,4.0,41.0,0.0,1.8590517848414811,19.05528079462518,0.0
63,2020-05-03,3.0,42.0,0.0,1.3942888386311107,19.52004374083555,0.0
64,2020-05-04,3.0,42.0,0.0,1.3942888386311107,19.52004374083555,0.0
65,2020-05-05,2.0,43.0,0.0,0.9295258924207406,19.98480668704592,0.0
66,2020-05-06,2.0,43.0,0.0,0.9295258924207406,19.98480668704592,0.0
67,2020-05-07,2.0,43.0,0.0,0.9295258924207406,19.98480668704592,0.0
68,2020-05-08,2.0,43.0,0.0,0.9295258924207406,19.98480668704592,0.0
69,2020-05-09,1.0,44.0,0.0,0.4647629462103703,20.44956963325629,0.0
70,2020-05-10,1.0,44.0,0.0,0.4647629462103703,20.44956963325629,0.0
71,2020-05-11,1.0,44.0,0.0,0.4647629462103703,20.44956963325629,0.0
72,2020-05-12,1.0,44.0,0.0,0.4647629462103703,20.44956963325629,0.0
73,2020-05-13,1.0,44.0,0.0,0.4647629462103703,20.44956963325629,0.0
74,2020-05-14,2.0,44.0,0.0,0.9295258924207406,20.44956963325629,0.0
75,2020-05-15,2.0,44.0,0.0,0.9295258924207406,20.44956963325629,0.0
76,2020-05-16,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
77,2020-05-17,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
78,2020-05-18,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
79,2020-05-19,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
80,2020-05-20,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
81,2020-05-21,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
82,2020-05-22,3.0,44.0,0.0,1.3942888386311107,20.44956963325629,0.0
83,2020-05-23,4.0,44.0,0.0,1.8590517848414811,20.44956963325629,0.0
84,2020-05-24,4.0,44.0,0.0,1.8590517848414811,20.44956963325629,0.0
85,2020-05-25,4.0,44.0,0.0,1.8590517848414811,20.44956963325629,0.0
86,2020-05-26,3.0,45.0,0.0,1.3942888386311107,20.914332579466663,0.0
87,2020-05-27,3.0,45.0,0.0,1.3942888386311107,20.914332579466663,0.0
88,2020-05-28,3.0,45.0,0.0,1.3942888386311107,20.914332579466663,0.0
89,2020-05-29,2.0,46.0,0.0,0.9295258924207406,21.37909552567703,0.0
90,2020-05-30,2.0,46.0,0.0,0.9295258924207406,21.37909552567703,0.0
91,2020-05-31,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
92,2020-06-01,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
93,2020-06-02,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
94,2020-06-03,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
95,2020-06-04,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
96,2020-06-05,1.0,47.0,0.0,0.4647629462103703,21.843858471887398,0.0
97,2020-06-06,0.0,48.0,0.0,0.0,22.308621418097772,0.0
98,2020-06-07,0.0,48.0,0.0,0.0,22.308621418097772,0.0
99,2020-06-08,0.0,48.0,0.0,0.0,22.308621418097772,0.0
100,2020-06-09,0.0,48.0,0.0,0.0,22.308621418097772,0.0
101,2020-06-10,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
102,2020-06-11,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
103,2020-06-12,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
104,2020-06-13,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
105,2020-06-14,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
106,2020-06-15,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
107,2020-06-16,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
108,2020-06-17,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
109,2020-06-18,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
110,2020-06-19,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
111,2020-06-20,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
112,2020-06-21,2.0,48.0,0.0,0.9295258924207406,22.308621418097772,0.0
113,2020-06-22,3.0,48.0,0.0,1.3942888386311107,22.308621418097772,0.0
114,2020-06-23,3.0,48.0,0.0,1.3942888386311107,22.308621418097772,0.0
115,2020-06-24,3.0,48.0,0.0,1.3942888386311107,22.308621418097772,0.0
116,2020-06-25,2.0,49.0,0.0,0.9295258924207406,22.77338436430814,0.0
117,2020-06-26,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
118,2020-06-27,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
119,2020-06-28,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
120,2020-06-29,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
121,2020-06-30,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
122,2020-07-01,3.0,49.0,0.0,1.3942888386311107,22.77338436430814,0.0
123,2020-07-02,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
124,2020-07-03,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
125,2020-07-04,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
126,2020-07-05,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
127,2020-07-06,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
128,2020-07-07,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
129,2020-07-08,3.0,50.0,0.0,1.3942888386311107,23.23814731051851,0.0
130,2020-07-09,2.0,51.0,0.0,0.9295258924207406,23.70291025672888,0.0
131,2020-07-10,2.0,51.0,0.0,0.9295258924207406,23.70291025672888,0.0
132,2020-07-11,2.0,51.0,0.0,0.9295258924207406,23.70291025672888,0.0
