,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
19,2020-03-20,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
20,2020-03-21,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
21,2020-03-22,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
22,2020-03-23,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
23,2020-03-24,1.0,0.0,0.0,0.8904513999111168,0.0,0.0
24,2020-03-25,2.0,0.0,0.0,1.7809027998222335,0.0,0.0
25,2020-03-26,2.0,0.0,0.0,1.7809027998222335,0.0,0.0
26,2020-03-27,3.0,0.0,0.0,2.6713541997333503,0.0,0.0
27,2020-03-28,4.0,0.0,0.0,3.561805599644467,0.0,0.0
28,2020-03-29,4.0,0.0,0.0,3.561805599644467,0.0,0.0
29,2020-03-30,4.0,0.0,0.0,3.561805599644467,0.0,0.0
30,2020-03-31,5.0,0.0,0.0,4.452256999555584,0.0,0.0
31,2020-04-01,4.0,1.0,0.0,3.561805599644467,0.8904513999111168,0.0
32,2020-04-02,4.0,1.0,0.0,3.561805599644467,0.8904513999111168,0.0
33,2020-04-03,4.0,1.0,0.0,3.561805599644467,0.8904513999111168,0.0
34,2020-04-04,5.0,1.0,0.0,4.452256999555584,0.8904513999111168,0.0
35,2020-04-05,5.0,1.0,0.0,4.452256999555584,0.8904513999111168,0.0
36,2020-04-06,5.0,1.0,0.0,4.452256999555584,0.8904513999111168,0.0
37,2020-04-07,5.0,1.0,0.0,4.452256999555584,0.8904513999111168,0.0
38,2020-04-08,7.0,1.0,0.0,6.233159799377818,0.8904513999111168,0.0
39,2020-04-09,7.0,1.0,0.0,6.233159799377818,0.8904513999111168,0.0
40,2020-04-10,8.0,1.0,0.0,7.123611199288934,0.8904513999111168,0.0
41,2020-04-11,8.0,1.0,0.0,7.123611199288934,0.8904513999111168,0.0
42,2020-04-12,8.0,1.0,0.0,7.123611199288934,0.8904513999111168,0.0
43,2020-04-13,10.0,1.0,0.0,8.904513999111169,0.8904513999111168,0.0
44,2020-04-14,10.0,1.0,0.0,8.904513999111169,0.8904513999111168,0.0
45,2020-04-15,10.0,1.0,0.0,8.904513999111169,0.8904513999111168,0.0
46,2020-04-16,10.0,1.0,0.0,8.904513999111169,0.8904513999111168,0.0
47,2020-04-17,10.0,1.0,0.0,8.904513999111169,0.8904513999111168,0.0
48,2020-04-18,9.0,2.0,0.0,8.01406259920005,1.7809027998222335,0.0
49,2020-04-19,10.0,2.0,0.0,8.904513999111169,1.7809027998222335,0.0
50,2020-04-20,11.0,2.0,0.0,9.794965399022285,1.7809027998222335,0.0
51,2020-04-21,12.0,2.0,0.0,10.685416798933401,1.7809027998222335,0.0
52,2020-04-22,15.0,2.0,0.0,13.356770998666752,1.7809027998222335,0.0
53,2020-04-23,17.0,2.0,0.0,15.137673798488986,1.7809027998222335,0.0
54,2020-04-24,19.0,2.0,0.0,16.918576598311216,1.7809027998222335,0.0
55,2020-04-25,16.0,5.0,0.0,14.247222398577868,4.452256999555584,0.0
56,2020-04-26,15.0,7.0,0.0,13.356770998666752,6.233159799377818,0.0
57,2020-04-27,18.0,7.0,0.0,16.0281251984001,6.233159799377818,0.0
58,2020-04-28,18.0,7.0,1.0,16.0281251984001,6.233159799377818,0.8904513999111168
59,2020-04-29,18.0,7.0,1.0,16.0281251984001,6.233159799377818,0.8904513999111168
60,2020-04-30,18.0,9.0,1.0,16.0281251984001,8.01406259920005,0.8904513999111168
61,2020-05-01,17.0,9.0,2.0,15.137673798488986,8.01406259920005,1.7809027998222335
62,2020-05-02,17.0,9.0,2.0,15.137673798488986,8.01406259920005,1.7809027998222335
63,2020-05-03,18.0,9.0,2.0,16.0281251984001,8.01406259920005,1.7809027998222335
64,2020-05-04,18.0,9.0,2.0,16.0281251984001,8.01406259920005,1.7809027998222335
65,2020-05-05,16.0,10.0,3.0,14.247222398577868,8.904513999111169,2.6713541997333503
66,2020-05-06,17.0,10.0,3.0,15.137673798488986,8.904513999111169,2.6713541997333503
67,2020-05-07,15.0,12.0,3.0,13.356770998666752,10.685416798933401,2.6713541997333503
68,2020-05-08,17.0,12.0,3.0,15.137673798488986,10.685416798933401,2.6713541997333503
69,2020-05-09,16.0,13.0,3.0,14.247222398577868,11.575868198844518,2.6713541997333503
70,2020-05-10,16.0,13.0,3.0,14.247222398577868,11.575868198844518,2.6713541997333503
71,2020-05-11,14.0,15.0,3.0,12.466319598755636,13.356770998666752,2.6713541997333503
72,2020-05-12,14.0,16.0,3.0,12.466319598755636,14.247222398577868,2.6713541997333503
73,2020-05-13,12.0,17.0,4.0,10.685416798933401,15.137673798488986,3.561805599644467
74,2020-05-14,12.0,17.0,4.0,10.685416798933401,15.137673798488986,3.561805599644467
75,2020-05-15,11.0,18.0,4.0,9.794965399022285,16.0281251984001,3.561805599644467
76,2020-05-16,10.0,19.0,4.0,8.904513999111169,16.918576598311216,3.561805599644467
77,2020-05-17,9.0,19.0,5.0,8.01406259920005,16.918576598311216,4.452256999555584
78,2020-05-18,8.0,20.0,5.0,7.123611199288934,17.809027998222337,4.452256999555584
79,2020-05-19,8.0,21.0,5.0,7.123611199288934,18.69947939813345,4.452256999555584
80,2020-05-20,6.0,23.0,5.0,5.342708399466701,20.480382197955684,4.452256999555584
81,2020-05-21,6.0,23.0,5.0,5.342708399466701,20.480382197955684,4.452256999555584
82,2020-05-22,6.0,24.0,5.0,5.342708399466701,21.370833597866802,4.452256999555584
83,2020-05-23,6.0,24.0,5.0,5.342708399466701,21.370833597866802,4.452256999555584
84,2020-05-24,6.0,24.0,5.0,5.342708399466701,21.370833597866802,4.452256999555584
85,2020-05-25,5.0,26.0,5.0,4.452256999555584,23.151736397689035,4.452256999555584
86,2020-05-26,4.0,27.0,5.0,3.561805599644467,24.04218779760015,4.452256999555584
87,2020-05-27,4.0,27.0,5.0,3.561805599644467,24.04218779760015,4.452256999555584
88,2020-05-28,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
89,2020-05-29,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
90,2020-05-30,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
91,2020-05-31,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
92,2020-06-01,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
93,2020-06-02,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
94,2020-06-03,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
95,2020-06-04,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
96,2020-06-05,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
97,2020-06-06,2.0,29.0,5.0,1.7809027998222335,25.823090597422386,4.452256999555584
98,2020-06-07,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
99,2020-06-08,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
100,2020-06-09,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
101,2020-06-10,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
102,2020-06-11,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
103,2020-06-12,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
104,2020-06-13,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
105,2020-06-14,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
106,2020-06-15,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
107,2020-06-16,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
108,2020-06-17,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
109,2020-06-18,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
110,2020-06-19,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
111,2020-06-20,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
112,2020-06-21,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
113,2020-06-22,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
114,2020-06-23,1.0,30.0,5.0,0.8904513999111168,26.713541997333504,4.452256999555584
115,2020-06-24,2.0,30.0,5.0,1.7809027998222335,26.713541997333504,4.452256999555584
116,2020-06-25,1.0,31.0,5.0,0.8904513999111168,27.60399339724462,4.452256999555584
117,2020-06-26,1.0,31.0,5.0,0.8904513999111168,27.60399339724462,4.452256999555584
118,2020-06-27,2.0,31.0,5.0,1.7809027998222335,27.60399339724462,4.452256999555584
119,2020-06-28,2.0,31.0,5.0,1.7809027998222335,27.60399339724462,4.452256999555584
120,2020-06-29,2.0,31.0,5.0,1.7809027998222335,27.60399339724462,4.452256999555584
121,2020-06-30,2.0,31.0,5.0,1.7809027998222335,27.60399339724462,4.452256999555584
122,2020-07-01,5.0,31.0,5.0,4.452256999555584,27.60399339724462,4.452256999555584
123,2020-07-02,5.0,31.0,5.0,4.452256999555584,27.60399339724462,4.452256999555584
124,2020-07-03,6.0,31.0,5.0,5.342708399466701,27.60399339724462,4.452256999555584
125,2020-07-04,6.0,31.0,5.0,5.342708399466701,27.60399339724462,4.452256999555584
126,2020-07-05,6.0,31.0,5.0,5.342708399466701,27.60399339724462,4.452256999555584
