,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.5985745684228495,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.5985745684228495,0.0,0.0
16,2020-03-17,1.0,0.0,0.0,0.5985745684228495,0.0,0.0
17,2020-03-18,2.0,0.0,0.0,1.197149136845699,0.0,0.0
18,2020-03-19,6.0,0.0,0.0,3.5914474105370973,0.0,0.0
19,2020-03-20,8.0,0.0,0.0,4.788596547382796,0.0,0.0
20,2020-03-21,9.0,0.0,0.0,5.387171115805646,0.0,0.0
21,2020-03-22,13.0,0.0,0.0,7.781469389497045,0.0,0.0
22,2020-03-23,14.0,0.0,0.0,8.380043957919895,0.0,0.0
23,2020-03-24,13.0,1.0,0.0,7.781469389497045,0.5985745684228495,0.0
24,2020-03-25,14.0,1.0,0.0,8.380043957919895,0.5985745684228495,0.0
25,2020-03-26,20.0,1.0,0.0,11.971491368456991,0.5985745684228495,0.0
26,2020-03-27,23.0,1.0,0.0,13.76721507372554,0.5985745684228495,0.0
27,2020-03-28,23.0,1.0,0.0,13.76721507372554,0.5985745684228495,0.0
28,2020-03-29,23.0,1.0,0.0,13.76721507372554,0.5985745684228495,0.0
29,2020-03-30,23.0,1.0,0.0,13.76721507372554,0.5985745684228495,0.0
30,2020-03-31,25.0,1.0,0.0,14.96436421057124,0.5985745684228495,0.0
31,2020-04-01,27.0,1.0,0.0,16.16151334741694,0.5985745684228495,0.0
32,2020-04-02,26.0,2.0,0.0,15.56293877899409,1.197149136845699,0.0
33,2020-04-03,29.0,2.0,0.0,17.358662484262638,1.197149136845699,0.0
34,2020-04-04,30.0,2.0,0.0,17.95723705268549,1.197149136845699,0.0
35,2020-04-05,30.0,2.0,0.0,17.95723705268549,1.197149136845699,0.0
36,2020-04-06,34.0,3.0,0.0,20.351535326376887,1.7957237052685486,0.0
37,2020-04-07,32.0,5.0,0.0,19.154386189531184,2.992872842114248,0.0
38,2020-04-08,34.0,6.0,0.0,20.351535326376887,3.5914474105370973,0.0
39,2020-04-09,36.0,7.0,0.0,21.548684463222585,4.1900219789599475,0.0
40,2020-04-10,38.0,7.0,0.0,22.745833600068284,4.1900219789599475,0.0
41,2020-04-11,38.0,7.0,0.0,22.745833600068284,4.1900219789599475,0.0
42,2020-04-12,38.0,8.0,0.0,22.745833600068284,4.788596547382796,0.0
43,2020-04-13,38.0,9.0,0.0,22.745833600068284,5.387171115805646,0.0
44,2020-04-14,36.0,11.0,0.0,21.548684463222585,6.584320252651346,0.0
45,2020-04-15,38.0,12.0,0.0,22.745833600068284,7.1828948210741945,0.0
46,2020-04-16,41.0,15.0,0.0,24.541557305336834,8.978618526342744,0.0
47,2020-04-17,42.0,16.0,0.0,25.14013187375968,9.577193094765592,0.0
48,2020-04-18,42.0,16.0,0.0,25.14013187375968,9.577193094765592,0.0
49,2020-04-19,42.0,16.0,0.0,25.14013187375968,9.577193094765592,0.0
50,2020-04-20,37.0,21.0,0.0,22.147259031645433,12.57006593687984,0.0
51,2020-04-21,40.0,21.0,0.0,23.942982736913983,12.57006593687984,0.0
52,2020-04-22,39.0,22.0,0.0,23.344408168491135,13.168640505302692,0.0
53,2020-04-23,37.0,24.0,0.0,22.147259031645433,14.365789642148389,0.0
54,2020-04-24,36.0,28.0,0.0,21.548684463222585,16.76008791583979,0.0
55,2020-04-25,34.0,34.0,0.0,20.351535326376887,20.351535326376887,0.0
56,2020-04-26,34.0,34.0,0.0,20.351535326376887,20.351535326376887,0.0
57,2020-04-27,32.0,37.0,0.0,19.154386189531184,22.147259031645433,0.0
58,2020-04-28,36.0,39.0,0.0,21.548684463222585,23.344408168491135,0.0
59,2020-04-29,33.0,41.0,1.0,19.752960757954035,24.541557305336834,0.5985745684228495
60,2020-04-30,31.0,44.0,1.0,18.55581162110834,26.337281010605384,0.5985745684228495
61,2020-05-01,28.0,47.0,1.0,16.76008791583979,28.13300471587393,0.5985745684228495
62,2020-05-02,28.0,47.0,1.0,16.76008791583979,28.13300471587393,0.5985745684228495
63,2020-05-03,27.0,48.0,1.0,16.16151334741694,28.731579284296778,0.5985745684228495
64,2020-05-04,25.0,50.0,1.0,14.96436421057124,29.92872842114248,0.5985745684228495
65,2020-05-05,23.0,53.0,1.0,13.76721507372554,31.724452126411027,0.5985745684228495
66,2020-05-06,21.0,55.0,1.0,12.57006593687984,32.921601263256726,0.5985745684228495
67,2020-05-07,13.0,63.0,1.0,7.781469389497045,37.71019781063953,0.5985745684228495
68,2020-05-08,13.0,63.0,1.0,7.781469389497045,37.71019781063953,0.5985745684228495
69,2020-05-09,12.0,64.0,1.0,7.1828948210741945,38.30877237906237,0.5985745684228495
70,2020-05-10,12.0,64.0,1.0,7.1828948210741945,38.30877237906237,0.5985745684228495
71,2020-05-11,9.0,67.0,1.0,5.387171115805646,40.10449608433092,0.5985745684228495
72,2020-05-12,9.0,67.0,1.0,5.387171115805646,40.10449608433092,0.5985745684228495
73,2020-05-13,8.0,68.0,1.0,4.788596547382796,40.70307065275377,0.5985745684228495
74,2020-05-14,4.0,72.0,1.0,2.394298273691398,43.09736892644517,0.5985745684228495
75,2020-05-15,4.0,72.0,1.0,2.394298273691398,43.09736892644517,0.5985745684228495
76,2020-05-16,4.0,72.0,1.0,2.394298273691398,43.09736892644517,0.5985745684228495
77,2020-05-17,3.0,73.0,1.0,1.7957237052685486,43.69594349486802,0.5985745684228495
78,2020-05-18,3.0,73.0,1.0,1.7957237052685486,43.69594349486802,0.5985745684228495
79,2020-05-19,3.0,73.0,1.0,1.7957237052685486,43.69594349486802,0.5985745684228495
80,2020-05-20,3.0,73.0,1.0,1.7957237052685486,43.69594349486802,0.5985745684228495
81,2020-05-21,1.0,75.0,1.0,0.5985745684228495,44.89309263171372,0.5985745684228495
82,2020-05-22,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
83,2020-05-23,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
84,2020-05-24,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
85,2020-05-25,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
86,2020-05-26,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
87,2020-05-27,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
88,2020-05-28,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
89,2020-05-29,2.0,75.0,1.0,1.197149136845699,44.89309263171372,0.5985745684228495
90,2020-05-30,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
91,2020-05-31,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
92,2020-06-01,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
93,2020-06-02,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
94,2020-06-03,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
95,2020-06-04,1.0,76.0,1.0,0.5985745684228495,45.49166720013657,0.5985745684228495
96,2020-06-05,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
97,2020-06-06,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
98,2020-06-07,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
99,2020-06-08,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
100,2020-06-09,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
101,2020-06-10,0.0,77.0,1.0,0.0,46.090241768559416,0.5985745684228495
102,2020-06-11,2.0,77.0,1.0,1.197149136845699,46.090241768559416,0.5985745684228495
103,2020-06-12,2.0,77.0,1.0,1.197149136845699,46.090241768559416,0.5985745684228495
104,2020-06-13,2.0,77.0,1.0,1.197149136845699,46.090241768559416,0.5985745684228495
105,2020-06-14,2.0,77.0,1.0,1.197149136845699,46.090241768559416,0.5985745684228495
106,2020-06-15,2.0,77.0,1.0,1.197149136845699,46.090241768559416,0.5985745684228495
107,2020-06-16,4.0,77.0,1.0,2.394298273691398,46.090241768559416,0.5985745684228495
108,2020-06-17,4.0,77.0,1.0,2.394298273691398,46.090241768559416,0.5985745684228495
109,2020-06-18,6.0,77.0,1.0,3.5914474105370973,46.090241768559416,0.5985745684228495
110,2020-06-19,6.0,77.0,1.0,3.5914474105370973,46.090241768559416,0.5985745684228495
111,2020-06-20,8.0,77.0,1.0,4.788596547382796,46.090241768559416,0.5985745684228495
112,2020-06-21,8.0,77.0,1.0,4.788596547382796,46.090241768559416,0.5985745684228495
113,2020-06-22,8.0,77.0,1.0,4.788596547382796,46.090241768559416,0.5985745684228495
114,2020-06-23,9.0,77.0,1.0,5.387171115805646,46.090241768559416,0.5985745684228495
115,2020-06-24,9.0,77.0,1.0,5.387171115805646,46.090241768559416,0.5985745684228495
116,2020-06-25,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
117,2020-06-26,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
118,2020-06-27,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
119,2020-06-28,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
120,2020-06-29,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
121,2020-06-30,10.0,77.0,1.0,5.985745684228496,46.090241768559416,0.5985745684228495
122,2020-07-01,11.0,77.0,1.0,6.584320252651346,46.090241768559416,0.5985745684228495
123,2020-07-02,11.0,77.0,1.0,6.584320252651346,46.090241768559416,0.5985745684228495
124,2020-07-03,11.0,77.0,1.0,6.584320252651346,46.090241768559416,0.5985745684228495
125,2020-07-04,12.0,77.0,1.0,7.1828948210741945,46.090241768559416,0.5985745684228495
