,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.2928094614272517,0.0,0.0
10,2020-03-11,2.0,0.0,0.0,0.5856189228545035,0.0,0.0
11,2020-03-12,2.0,0.0,0.0,0.5856189228545035,0.0,0.0
12,2020-03-13,2.0,0.0,0.0,0.5856189228545035,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.5856189228545035,0.0,0.0
14,2020-03-15,9.0,0.0,0.0,2.6352851528452654,0.0,0.0
15,2020-03-16,9.0,0.0,0.0,2.6352851528452654,0.0,0.0
16,2020-03-17,9.0,0.0,0.0,2.6352851528452654,0.0,0.0
17,2020-03-18,10.0,0.0,0.0,2.928094614272517,0.0,0.0
18,2020-03-19,11.0,1.0,0.0,3.2209040756997687,0.2928094614272517,0.0
19,2020-03-20,11.0,1.0,0.0,3.2209040756997687,0.2928094614272517,0.0
20,2020-03-21,11.0,1.0,0.0,3.2209040756997687,0.2928094614272517,0.0
21,2020-03-22,11.0,1.0,0.0,3.2209040756997687,0.2928094614272517,0.0
22,2020-03-23,11.0,1.0,0.0,3.2209040756997687,0.2928094614272517,0.0
23,2020-03-24,17.0,1.0,0.0,4.97776084426328,0.2928094614272517,0.0
24,2020-03-25,18.0,1.0,0.0,5.270570305690531,0.2928094614272517,0.0
25,2020-03-26,22.0,1.0,0.0,6.441808151399537,0.2928094614272517,0.0
26,2020-03-27,25.0,1.0,0.0,7.320236535681293,0.2928094614272517,0.0
27,2020-03-28,31.0,1.0,0.0,9.077093304244801,0.2928094614272517,0.0
28,2020-03-29,32.0,1.0,0.0,9.369902765672055,0.2928094614272517,0.0
29,2020-03-30,32.0,3.0,0.0,9.369902765672055,0.8784283842817552,0.0
30,2020-03-31,33.0,5.0,0.0,9.662712227099306,1.4640473071362585,0.0
31,2020-04-01,34.0,8.0,0.0,9.95552168852656,2.342475691418014,0.0
32,2020-04-02,36.0,9.0,0.0,10.541140611381062,2.6352851528452654,0.0
33,2020-04-03,40.0,9.0,0.0,11.712378457090068,2.6352851528452654,0.0
34,2020-04-04,39.0,13.0,0.0,11.419568995662816,3.8065229985542723,0.0
35,2020-04-05,39.0,13.0,0.0,11.419568995662816,3.8065229985542723,0.0
36,2020-04-06,46.0,13.0,0.0,13.469235225653579,3.8065229985542723,0.0
37,2020-04-07,49.0,13.0,0.0,14.347663609935333,3.8065229985542723,0.0
38,2020-04-08,47.0,16.0,1.0,13.76204468708083,4.684951382836028,0.2928094614272517
39,2020-04-09,44.0,19.0,1.0,12.883616302799075,5.563379767117782,0.2928094614272517
40,2020-04-10,47.0,19.0,1.0,13.76204468708083,5.563379767117782,0.2928094614272517
41,2020-04-11,47.0,20.0,1.0,13.76204468708083,5.856189228545034,0.2928094614272517
42,2020-04-12,44.0,23.0,1.0,12.883616302799075,6.734617612826789,0.2928094614272517
43,2020-04-13,51.0,25.0,1.0,14.933282532789836,7.320236535681293,0.2928094614272517
44,2020-04-14,48.0,29.0,1.0,14.054854148508083,8.491474381390299,0.2928094614272517
45,2020-04-15,48.0,30.0,1.0,14.054854148508083,8.784283842817551,0.2928094614272517
46,2020-04-16,45.0,33.0,1.0,13.176425764226327,9.662712227099306,0.2928094614272517
47,2020-04-17,44.0,34.0,1.0,12.883616302799075,9.95552168852656,0.2928094614272517
48,2020-04-18,40.0,38.0,1.0,11.712378457090068,11.126759534235564,0.2928094614272517
49,2020-04-19,42.0,38.0,1.0,12.297997379944572,11.126759534235564,0.2928094614272517
50,2020-04-20,36.0,45.0,1.0,10.541140611381062,13.176425764226327,0.2928094614272517
51,2020-04-21,40.0,46.0,1.0,11.712378457090068,13.469235225653579,0.2928094614272517
52,2020-04-22,38.0,48.0,1.0,11.126759534235564,14.054854148508083,0.2928094614272517
53,2020-04-23,37.0,50.0,1.0,10.833950072808314,14.640473071362585,0.2928094614272517
54,2020-04-24,31.0,56.0,1.0,9.077093304244801,16.397329839926094,0.2928094614272517
55,2020-04-25,29.0,58.0,1.0,8.491474381390299,16.982948762780598,0.2928094614272517
56,2020-04-26,29.0,58.0,1.0,8.491474381390299,16.982948762780598,0.2928094614272517
57,2020-04-27,31.0,59.0,1.0,9.077093304244801,17.275758224207852,0.2928094614272517
58,2020-04-28,34.0,60.0,1.0,9.95552168852656,17.568567685635102,0.2928094614272517
59,2020-04-29,29.0,65.0,1.0,8.491474381390299,19.03261499277136,0.2928094614272517
60,2020-04-30,26.0,68.0,1.0,7.613045997108545,19.91104337705312,0.2928094614272517
61,2020-05-01,26.0,68.0,1.0,7.613045997108545,19.91104337705312,0.2928094614272517
62,2020-05-02,26.0,70.0,1.0,7.613045997108545,20.49666229990762,0.2928094614272517
63,2020-05-03,23.0,73.0,1.0,6.734617612826789,21.375090684189377,0.2928094614272517
64,2020-05-04,23.0,73.0,1.0,6.734617612826789,21.375090684189377,0.2928094614272517
65,2020-05-05,20.0,75.0,2.0,5.856189228545034,21.960709607043878,0.5856189228545035
66,2020-05-06,21.0,75.0,2.0,6.148998689972286,21.960709607043878,0.5856189228545035
67,2020-05-07,22.0,75.0,2.0,6.441808151399537,21.960709607043878,0.5856189228545035
68,2020-05-08,22.0,76.0,2.0,6.441808151399537,22.253519068471128,0.5856189228545035
69,2020-05-09,22.0,76.0,2.0,6.441808151399537,22.253519068471128,0.5856189228545035
70,2020-05-10,22.0,76.0,2.0,6.441808151399537,22.253519068471128,0.5856189228545035
71,2020-05-11,21.0,78.0,2.0,6.148998689972286,22.839137991325632,0.5856189228545035
72,2020-05-12,21.0,78.0,2.0,6.148998689972286,22.839137991325632,0.5856189228545035
73,2020-05-13,15.0,84.0,2.0,4.392141921408776,24.595994759889145,0.5856189228545035
74,2020-05-14,15.0,84.0,2.0,4.392141921408776,24.595994759889145,0.5856189228545035
75,2020-05-15,15.0,84.0,2.0,4.392141921408776,24.595994759889145,0.5856189228545035
76,2020-05-16,15.0,84.0,2.0,4.392141921408776,24.595994759889145,0.5856189228545035
77,2020-05-17,12.0,87.0,2.0,3.5137135371270207,25.4744231441709,0.5856189228545035
78,2020-05-18,10.0,89.0,2.0,2.928094614272517,26.0600420670254,0.5856189228545035
79,2020-05-19,8.0,91.0,2.0,2.342475691418014,26.645660989879907,0.5856189228545035
80,2020-05-20,7.0,92.0,2.0,2.0496662299907618,26.938470451307158,0.5856189228545035
81,2020-05-21,7.0,92.0,2.0,2.0496662299907618,26.938470451307158,0.5856189228545035
82,2020-05-22,7.0,92.0,2.0,2.0496662299907618,26.938470451307158,0.5856189228545035
83,2020-05-23,6.0,93.0,2.0,1.7568567685635104,27.231279912734408,0.5856189228545035
84,2020-05-24,5.0,94.0,2.0,1.4640473071362585,27.52408937416166,0.5856189228545035
85,2020-05-25,4.0,95.0,2.0,1.171237845709007,27.816898835588912,0.5856189228545035
86,2020-05-26,5.0,95.0,2.0,1.4640473071362585,27.816898835588912,0.5856189228545035
87,2020-05-27,5.0,95.0,2.0,1.4640473071362585,27.816898835588912,0.5856189228545035
88,2020-05-28,5.0,96.0,2.0,1.4640473071362585,28.109708297016166,0.5856189228545035
89,2020-05-29,4.0,97.0,2.0,1.171237845709007,28.402517758443413,0.5856189228545035
90,2020-05-30,4.0,97.0,2.0,1.171237845709007,28.402517758443413,0.5856189228545035
91,2020-05-31,4.0,97.0,2.0,1.171237845709007,28.402517758443413,0.5856189228545035
92,2020-06-01,4.0,97.0,2.0,1.171237845709007,28.402517758443413,0.5856189228545035
93,2020-06-02,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
94,2020-06-03,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
95,2020-06-04,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
96,2020-06-05,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
97,2020-06-06,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
98,2020-06-07,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
99,2020-06-08,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
100,2020-06-09,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
101,2020-06-10,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
102,2020-06-11,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
103,2020-06-12,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
104,2020-06-13,3.0,98.0,2.0,0.8784283842817552,28.695327219870666,0.5856189228545035
105,2020-06-14,2.0,99.0,2.0,0.5856189228545035,28.98813668129792,0.5856189228545035
106,2020-06-15,2.0,99.0,2.0,0.5856189228545035,28.98813668129792,0.5856189228545035
107,2020-06-16,2.0,99.0,2.0,0.5856189228545035,28.98813668129792,0.5856189228545035
108,2020-06-17,2.0,99.0,2.0,0.5856189228545035,28.98813668129792,0.5856189228545035
109,2020-06-18,2.0,99.0,2.0,0.5856189228545035,28.98813668129792,0.5856189228545035
110,2020-06-19,4.0,99.0,2.0,1.171237845709007,28.98813668129792,0.5856189228545035
111,2020-06-20,4.0,99.0,2.0,1.171237845709007,28.98813668129792,0.5856189228545035
112,2020-06-21,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
113,2020-06-22,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
114,2020-06-23,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
115,2020-06-24,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
116,2020-06-25,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
117,2020-06-26,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
118,2020-06-27,5.0,99.0,2.0,1.4640473071362585,28.98813668129792,0.5856189228545035
119,2020-06-28,6.0,99.0,2.0,1.7568567685635104,28.98813668129792,0.5856189228545035
120,2020-06-29,6.0,99.0,2.0,1.7568567685635104,28.98813668129792,0.5856189228545035
