,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-25,1.0,0.0,0.0,0.648683023842009,0.0,0.0
25,2020-03-26,2.0,0.0,0.0,1.297366047684018,0.0,0.0
26,2020-03-27,2.0,0.0,0.0,1.297366047684018,0.0,0.0
27,2020-03-28,3.0,0.0,0.0,1.9460490715260272,0.0,0.0
28,2020-03-29,5.0,0.0,0.0,3.2434151192100455,0.0,0.0
29,2020-03-30,6.0,0.0,0.0,3.8920981430520545,0.0,0.0
30,2020-03-31,9.0,0.0,0.0,5.838147214578083,0.0,0.0
31,2020-04-01,10.0,0.0,0.0,6.486830238420091,0.0,0.0
32,2020-04-02,10.0,0.0,0.0,6.486830238420091,0.0,0.0
33,2020-04-03,10.0,0.0,0.0,6.486830238420091,0.0,0.0
34,2020-04-04,10.0,0.0,0.0,6.486830238420091,0.0,0.0
35,2020-04-05,9.0,1.0,0.0,5.838147214578083,0.648683023842009,0.0
36,2020-04-06,10.0,1.0,0.0,6.486830238420091,0.648683023842009,0.0
37,2020-04-07,9.0,2.0,0.0,5.838147214578083,1.297366047684018,0.0
38,2020-04-08,11.0,2.0,0.0,7.1355132622621,1.297366047684018,0.0
39,2020-04-09,9.0,4.0,0.0,5.838147214578083,2.594732095368036,0.0
40,2020-04-10,7.0,6.0,0.0,4.540781166894064,3.8920981430520545,0.0
41,2020-04-11,7.0,6.0,0.0,4.540781166894064,3.8920981430520545,0.0
42,2020-04-12,7.0,6.0,0.0,4.540781166894064,3.8920981430520545,0.0
43,2020-04-13,7.0,6.0,0.0,4.540781166894064,3.8920981430520545,0.0
44,2020-04-14,8.0,6.0,0.0,5.189464190736072,3.8920981430520545,0.0
45,2020-04-15,8.0,6.0,0.0,5.189464190736072,3.8920981430520545,0.0
46,2020-04-16,8.0,6.0,0.0,5.189464190736072,3.8920981430520545,0.0
47,2020-04-17,8.0,6.0,0.0,5.189464190736072,3.8920981430520545,0.0
48,2020-04-18,8.0,6.0,0.0,5.189464190736072,3.8920981430520545,0.0
49,2020-04-19,7.0,7.0,0.0,4.540781166894064,4.540781166894064,0.0
50,2020-04-20,16.0,7.0,0.0,10.378928381472145,4.540781166894064,0.0
51,2020-04-21,16.0,7.0,0.0,10.378928381472145,4.540781166894064,0.0
52,2020-04-22,15.0,8.0,0.0,9.730245357630137,5.189464190736072,0.0
53,2020-04-23,14.0,9.0,0.0,9.081562333788128,5.838147214578083,0.0
54,2020-04-24,11.0,12.0,0.0,7.1355132622621,7.784196286104109,0.0
55,2020-04-25,11.0,12.0,0.0,7.1355132622621,7.784196286104109,0.0
56,2020-04-26,11.0,12.0,0.0,7.1355132622621,7.784196286104109,0.0
57,2020-04-27,10.0,13.0,0.0,6.486830238420091,8.432879309946118,0.0
58,2020-04-28,9.0,14.0,0.0,5.838147214578083,9.081562333788128,0.0
59,2020-04-29,9.0,14.0,0.0,5.838147214578083,9.081562333788128,0.0
60,2020-04-30,8.0,14.0,1.0,5.189464190736072,9.081562333788128,0.648683023842009
61,2020-05-01,7.0,14.0,2.0,4.540781166894064,9.081562333788128,1.297366047684018
62,2020-05-02,6.0,15.0,2.0,3.8920981430520545,9.730245357630137,1.297366047684018
63,2020-05-03,6.0,15.0,2.0,3.8920981430520545,9.730245357630137,1.297366047684018
64,2020-05-04,4.0,16.0,3.0,2.594732095368036,10.378928381472145,1.9460490715260272
65,2020-05-05,5.0,16.0,3.0,3.2434151192100455,10.378928381472145,1.9460490715260272
66,2020-05-06,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
67,2020-05-07,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
68,2020-05-08,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
69,2020-05-09,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
70,2020-05-10,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
71,2020-05-11,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
72,2020-05-12,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
73,2020-05-13,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
74,2020-05-14,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
75,2020-05-15,2.0,20.0,3.0,1.297366047684018,12.973660476840182,1.9460490715260272
76,2020-05-16,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
77,2020-05-17,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
78,2020-05-18,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
79,2020-05-19,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
80,2020-05-20,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
81,2020-05-21,1.0,21.0,3.0,0.648683023842009,13.622343500682192,1.9460490715260272
82,2020-05-22,0.0,22.0,3.0,0.0,14.2710265245242,1.9460490715260272
83,2020-05-23,0.0,22.0,3.0,0.0,14.2710265245242,1.9460490715260272
84,2020-05-24,1.0,22.0,3.0,0.648683023842009,14.2710265245242,1.9460490715260272
85,2020-05-25,1.0,22.0,3.0,0.648683023842009,14.2710265245242,1.9460490715260272
86,2020-05-26,1.0,22.0,3.0,0.648683023842009,14.2710265245242,1.9460490715260272
87,2020-05-27,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
88,2020-05-28,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
89,2020-05-29,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
90,2020-05-30,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
91,2020-05-31,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
92,2020-06-01,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
93,2020-06-02,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
94,2020-06-03,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
95,2020-06-04,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
96,2020-06-05,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
97,2020-06-06,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
98,2020-06-07,2.0,22.0,3.0,1.297366047684018,14.2710265245242,1.9460490715260272
99,2020-06-08,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
100,2020-06-09,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
101,2020-06-10,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
102,2020-06-11,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
103,2020-06-12,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
104,2020-06-13,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
105,2020-06-14,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
106,2020-06-15,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
107,2020-06-16,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
108,2020-06-17,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
109,2020-06-18,1.0,23.0,3.0,0.648683023842009,14.919709548366209,1.9460490715260272
110,2020-06-19,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
111,2020-06-20,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
112,2020-06-21,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
113,2020-06-22,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
114,2020-06-23,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
115,2020-06-24,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
116,2020-06-25,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
117,2020-06-26,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
118,2020-06-27,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
119,2020-06-28,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
120,2020-06-29,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
121,2020-06-30,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
122,2020-07-01,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
123,2020-07-02,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
124,2020-07-03,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
125,2020-07-04,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
126,2020-07-05,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
127,2020-07-06,2.0,23.0,3.0,1.297366047684018,14.919709548366209,1.9460490715260272
