,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.9680603247459147,0.0,0.0
14,2020-03-15,2.0,0.0,0.0,0.9680603247459147,0.0,0.0
15,2020-03-16,3.0,0.0,0.0,1.4520904871188722,0.0,0.0
16,2020-03-17,5.0,0.0,0.0,2.420150811864787,0.0,0.0
17,2020-03-18,7.0,0.0,0.0,3.3882111366107015,0.0,0.0
18,2020-03-19,9.0,0.0,0.0,4.3562714613566165,0.0,0.0
19,2020-03-20,9.0,0.0,0.0,4.3562714613566165,0.0,0.0
20,2020-03-21,14.0,0.0,0.0,6.776422273221403,0.0,0.0
21,2020-03-22,14.0,0.0,0.0,6.776422273221403,0.0,0.0
22,2020-03-23,14.0,0.0,0.0,6.776422273221403,0.0,0.0
23,2020-03-24,15.0,0.0,0.0,7.2604524355943605,0.0,0.0
24,2020-03-25,16.0,0.0,0.0,7.744482597967318,0.0,0.0
25,2020-03-26,14.0,2.0,0.0,6.776422273221403,0.9680603247459147,0.0
26,2020-03-27,17.0,3.0,0.0,8.228512760340276,1.4520904871188722,0.0
27,2020-03-28,18.0,3.0,0.0,8.712542922713233,1.4520904871188722,0.0
28,2020-03-29,18.0,3.0,0.0,8.712542922713233,1.4520904871188722,0.0
29,2020-03-30,20.0,3.0,0.0,9.680603247459148,1.4520904871188722,0.0
30,2020-03-31,22.0,4.0,0.0,10.648663572205063,1.9361206494918295,0.0
31,2020-04-01,36.0,5.0,1.0,17.425085845426466,2.420150811864787,0.4840301623729574
32,2020-04-02,38.0,5.0,2.0,18.39314617017238,2.420150811864787,0.9680603247459147
33,2020-04-03,38.0,5.0,2.0,18.39314617017238,2.420150811864787,0.9680603247459147
34,2020-04-04,44.0,5.0,3.0,21.297327144410126,2.420150811864787,1.4520904871188722
35,2020-04-05,47.0,5.0,4.0,22.749417631529,2.420150811864787,1.9361206494918295
36,2020-04-06,51.0,5.0,4.0,24.685538281020825,2.420150811864787,1.9361206494918295
37,2020-04-07,57.0,5.0,4.0,27.589719255258572,2.420150811864787,1.9361206494918295
38,2020-04-08,61.0,6.0,4.0,29.525839904750402,2.9041809742377445,1.9361206494918295
39,2020-04-09,59.0,8.0,5.0,28.557779580004485,3.872241298983659,2.420150811864787
40,2020-04-10,63.0,9.0,5.0,30.493900229496315,4.3562714613566165,2.420150811864787
41,2020-04-11,59.0,16.0,5.0,28.557779580004485,7.744482597967318,2.420150811864787
42,2020-04-12,56.0,19.0,6.0,27.105689092885612,9.19657308508619,2.9041809742377445
43,2020-04-13,55.0,19.0,7.0,26.621658930512655,9.19657308508619,3.3882111366107015
44,2020-04-14,53.0,19.0,10.0,25.653598605766742,9.19657308508619,4.840301623729574
45,2020-04-15,61.0,19.0,10.0,29.525839904750402,9.19657308508619,4.840301623729574
46,2020-04-16,63.0,21.0,10.0,30.493900229496315,10.164633409832105,4.840301623729574
47,2020-04-17,63.0,22.0,10.0,30.493900229496315,10.648663572205063,4.840301623729574
48,2020-04-18,64.0,22.0,10.0,30.977930391869272,10.648663572205063,4.840301623729574
49,2020-04-19,64.0,22.0,10.0,30.977930391869272,10.648663572205063,4.840301623729574
50,2020-04-20,65.0,23.0,10.0,31.46196055424223,11.132693734578021,4.840301623729574
51,2020-04-21,61.0,26.0,11.0,29.525839904750402,12.584784221696893,5.324331786102531
52,2020-04-22,58.0,30.0,11.0,28.07374941763153,14.520904871188721,5.324331786102531
53,2020-04-23,53.0,34.0,12.0,25.653598605766742,16.457025520680553,5.808361948475489
54,2020-04-24,56.0,34.0,12.0,27.105689092885612,16.457025520680553,5.808361948475489
55,2020-04-25,52.0,38.0,12.0,25.169568443393786,18.39314617017238,5.808361948475489
56,2020-04-26,50.0,40.0,12.0,24.20150811864787,19.361206494918296,5.808361948475489
57,2020-04-27,51.0,41.0,12.0,24.685538281020825,19.845236657291256,5.808361948475489
58,2020-04-28,52.0,41.0,12.0,25.169568443393786,19.845236657291256,5.808361948475489
59,2020-04-29,52.0,43.0,13.0,25.169568443393786,20.813296982037166,6.292392110848446
60,2020-04-30,48.0,46.0,14.0,23.233447793901956,22.265387469156042,6.776422273221403
61,2020-05-01,46.0,48.0,14.0,22.265387469156042,23.233447793901956,6.776422273221403
62,2020-05-02,46.0,48.0,14.0,22.265387469156042,23.233447793901956,6.776422273221403
63,2020-05-03,45.0,49.0,14.0,21.781357306783082,23.717477956274912,6.776422273221403
64,2020-05-04,45.0,50.0,14.0,21.781357306783082,24.20150811864787,6.776422273221403
65,2020-05-05,43.0,52.0,14.0,20.813296982037166,25.169568443393786,6.776422273221403
66,2020-05-06,37.0,58.0,14.0,17.909116007799422,28.07374941763153,6.776422273221403
67,2020-05-07,33.0,63.0,14.0,15.972995358307596,30.493900229496315,6.776422273221403
68,2020-05-08,31.0,66.0,14.0,15.00493503356168,31.945990716615192,6.776422273221403
69,2020-05-09,31.0,66.0,14.0,15.00493503356168,31.945990716615192,6.776422273221403
70,2020-05-10,32.0,66.0,14.0,15.488965195934636,31.945990716615192,6.776422273221403
71,2020-05-11,27.0,71.0,14.0,13.068814384069851,34.36614152847998,6.776422273221403
72,2020-05-12,24.0,74.0,14.0,11.616723896950978,35.818232015598845,6.776422273221403
73,2020-05-13,21.0,77.0,14.0,10.164633409832105,37.27032250271772,6.776422273221403
74,2020-05-14,18.0,80.0,14.0,8.712542922713233,38.72241298983659,6.776422273221403
75,2020-05-15,15.0,83.0,14.0,7.2604524355943605,40.174503476955465,6.776422273221403
76,2020-05-16,13.0,85.0,14.0,6.292392110848446,41.14256380170138,6.776422273221403
77,2020-05-17,13.0,85.0,14.0,6.292392110848446,41.14256380170138,6.776422273221403
78,2020-05-18,11.0,88.0,14.0,5.324331786102531,42.59465428882025,6.776422273221403
79,2020-05-19,11.0,88.0,14.0,5.324331786102531,42.59465428882025,6.776422273221403
80,2020-05-20,10.0,89.0,14.0,4.840301623729574,43.07868445119321,6.776422273221403
81,2020-05-21,9.0,90.0,14.0,4.3562714613566165,43.562714613566165,6.776422273221403
82,2020-05-22,9.0,90.0,14.0,4.3562714613566165,43.562714613566165,6.776422273221403
83,2020-05-23,9.0,90.0,14.0,4.3562714613566165,43.562714613566165,6.776422273221403
84,2020-05-24,8.0,91.0,14.0,3.872241298983659,44.04674477593912,6.776422273221403
85,2020-05-25,8.0,93.0,14.0,3.872241298983659,45.01480510068504,6.776422273221403
86,2020-05-26,7.0,94.0,14.0,3.3882111366107015,45.498835263058,6.776422273221403
87,2020-05-27,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
88,2020-05-28,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
89,2020-05-29,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
90,2020-05-30,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
91,2020-05-31,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
92,2020-06-01,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
93,2020-06-02,3.0,99.0,14.0,1.4520904871188722,47.918986074922785,6.776422273221403
94,2020-06-03,1.0,101.0,14.0,0.4840301623729574,48.8870463996687,6.776422273221403
95,2020-06-04,0.0,102.0,14.0,0.0,49.37107656204165,6.776422273221403
96,2020-06-05,0.0,102.0,14.0,0.0,49.37107656204165,6.776422273221403
97,2020-06-06,1.0,102.0,14.0,0.4840301623729574,49.37107656204165,6.776422273221403
98,2020-06-07,1.0,102.0,14.0,0.4840301623729574,49.37107656204165,6.776422273221403
99,2020-06-08,0.0,103.0,14.0,0.0,49.85510672441461,6.776422273221403
100,2020-06-09,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
101,2020-06-10,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
102,2020-06-11,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
103,2020-06-12,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
104,2020-06-13,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
105,2020-06-14,1.0,103.0,14.0,0.4840301623729574,49.85510672441461,6.776422273221403
106,2020-06-15,2.0,103.0,14.0,0.9680603247459147,49.85510672441461,6.776422273221403
107,2020-06-16,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
108,2020-06-17,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
109,2020-06-18,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
110,2020-06-19,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
111,2020-06-20,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
112,2020-06-21,2.0,104.0,14.0,0.9680603247459147,50.33913688678757,6.776422273221403
113,2020-06-22,1.0,105.0,14.0,0.4840301623729574,50.823167049160524,6.776422273221403
114,2020-06-23,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
115,2020-06-24,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
116,2020-06-25,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
117,2020-06-26,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
118,2020-06-27,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
119,2020-06-28,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
120,2020-06-29,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
121,2020-06-30,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
122,2020-07-01,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
123,2020-07-02,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
124,2020-07-03,0.0,106.0,14.0,0.0,51.307197211533484,6.776422273221403
