,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.516654848186247,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.516654848186247,0.0,0.0
16,2020-03-17,1.0,0.0,0.0,0.516654848186247,0.0,0.0
17,2020-03-18,1.0,0.0,0.0,0.516654848186247,0.0,0.0
18,2020-03-19,1.0,0.0,0.0,0.516654848186247,0.0,0.0
19,2020-03-20,2.0,0.0,0.0,1.033309696372494,0.0,0.0
20,2020-03-21,7.0,0.0,0.0,3.616583937303729,0.0,0.0
21,2020-03-22,12.0,0.0,0.0,6.199858178234964,0.0,0.0
22,2020-03-23,13.0,0.0,0.0,6.71651302642121,0.0,0.0
23,2020-03-24,19.0,0.0,0.0,9.816442115538694,0.0,0.0
24,2020-03-25,22.0,0.0,0.0,11.366406660097434,0.0,0.0
25,2020-03-26,26.0,0.0,0.0,13.43302605284242,0.0,0.0
26,2020-03-27,30.0,0.0,0.0,15.49964544558741,0.0,0.0
27,2020-03-28,33.0,0.0,0.0,17.04960999014615,0.0,0.0
28,2020-03-29,33.0,0.0,0.0,17.04960999014615,0.0,0.0
29,2020-03-30,33.0,0.0,0.0,17.04960999014615,0.0,0.0
30,2020-03-31,33.0,0.0,0.0,17.04960999014615,0.0,0.0
31,2020-04-01,33.0,0.0,0.0,17.04960999014615,0.0,0.0
32,2020-04-02,33.0,0.0,0.0,17.04960999014615,0.0,0.0
33,2020-04-03,33.0,0.0,0.0,17.04960999014615,0.0,0.0
34,2020-04-04,34.0,0.0,0.0,17.566264838332398,0.0,0.0
35,2020-04-05,33.0,1.0,0.0,17.04960999014615,0.516654848186247,0.0
36,2020-04-06,32.0,2.0,0.0,16.532955141959903,1.033309696372494,0.0
37,2020-04-07,33.0,2.0,0.0,17.04960999014615,1.033309696372494,0.0
38,2020-04-08,33.0,4.0,0.0,17.04960999014615,2.066619392744988,0.0
39,2020-04-09,34.0,6.0,0.0,17.566264838332398,3.099929089117482,0.0
40,2020-04-10,32.0,8.0,0.0,16.532955141959903,4.133238785489976,0.0
41,2020-04-11,32.0,9.0,0.0,16.532955141959903,4.649893633676223,0.0
42,2020-04-12,32.0,9.0,0.0,16.532955141959903,4.649893633676223,0.0
43,2020-04-13,32.0,9.0,0.0,16.532955141959903,4.649893633676223,0.0
44,2020-04-14,29.0,12.0,0.0,14.982990597401162,6.199858178234964,0.0
45,2020-04-15,31.0,12.0,0.0,16.016300293773657,6.199858178234964,0.0
46,2020-04-16,28.0,15.0,0.0,14.466335749214917,7.749822722793705,0.0
47,2020-04-17,24.0,19.0,0.0,12.399716356469929,9.816442115538694,0.0
48,2020-04-18,20.0,23.0,0.0,10.33309696372494,11.883061508283681,0.0
49,2020-04-19,20.0,24.0,0.0,10.33309696372494,12.399716356469929,0.0
50,2020-04-20,20.0,26.0,0.0,10.33309696372494,13.43302605284242,0.0
51,2020-04-21,20.0,26.0,0.0,10.33309696372494,13.43302605284242,0.0
52,2020-04-22,17.0,30.0,0.0,8.783132419166199,15.49964544558741,0.0
53,2020-04-23,17.0,30.0,0.0,8.783132419166199,15.49964544558741,0.0
54,2020-04-24,15.0,32.0,0.0,7.749822722793705,16.532955141959903,0.0
55,2020-04-25,15.0,32.0,0.0,7.749822722793705,16.532955141959903,0.0
56,2020-04-26,15.0,32.0,0.0,7.749822722793705,16.532955141959903,0.0
57,2020-04-27,15.0,32.0,0.0,7.749822722793705,16.532955141959903,0.0
58,2020-04-28,15.0,33.0,0.0,7.749822722793705,17.04960999014615,0.0
59,2020-04-29,14.0,34.0,0.0,7.233167874607458,17.566264838332398,0.0
60,2020-04-30,14.0,34.0,0.0,7.233167874607458,17.566264838332398,0.0
61,2020-05-01,13.0,35.0,0.0,6.71651302642121,18.082919686518643,0.0
62,2020-05-02,14.0,35.0,0.0,7.233167874607458,18.082919686518643,0.0
63,2020-05-03,14.0,35.0,0.0,7.233167874607458,18.082919686518643,0.0
64,2020-05-04,13.0,36.0,0.0,6.71651302642121,18.599574534704892,0.0
65,2020-05-05,14.0,36.0,0.0,7.233167874607458,18.599574534704892,0.0
66,2020-05-06,19.0,38.0,0.0,9.816442115538694,19.632884231077387,0.0
67,2020-05-07,19.0,39.0,0.0,9.816442115538694,20.149539079263633,0.0
68,2020-05-08,21.0,39.0,0.0,10.849751811911187,20.149539079263633,0.0
69,2020-05-09,20.0,40.0,0.0,10.33309696372494,20.66619392744988,0.0
70,2020-05-10,20.0,40.0,0.0,10.33309696372494,20.66619392744988,0.0
71,2020-05-11,20.0,40.0,0.0,10.33309696372494,20.66619392744988,0.0
72,2020-05-12,28.0,40.0,0.0,14.466335749214917,20.66619392744988,0.0
73,2020-05-13,29.0,41.0,0.0,14.982990597401162,21.182848775636124,0.0
74,2020-05-14,33.0,41.0,0.0,17.04960999014615,21.182848775636124,0.0
75,2020-05-15,34.0,41.0,0.0,17.566264838332398,21.182848775636124,0.0
76,2020-05-16,35.0,41.0,0.0,18.082919686518643,21.182848775636124,0.0
77,2020-05-17,35.0,41.0,0.0,18.082919686518643,21.182848775636124,0.0
78,2020-05-18,34.0,42.0,0.0,17.566264838332398,21.699503623822373,0.0
79,2020-05-19,34.0,42.0,0.0,17.566264838332398,21.699503623822373,0.0
80,2020-05-20,33.0,43.0,0.0,17.04960999014615,22.21615847200862,0.0
81,2020-05-21,32.0,44.0,0.0,16.532955141959903,22.732813320194868,0.0
82,2020-05-22,34.0,44.0,0.0,17.566264838332398,22.732813320194868,0.0
83,2020-05-23,33.0,46.0,0.0,17.04960999014615,23.766123016567363,0.0
84,2020-05-24,33.0,46.0,0.0,17.04960999014615,23.766123016567363,0.0
85,2020-05-25,28.0,51.0,0.0,14.466335749214917,26.349397257498595,0.0
86,2020-05-26,28.0,51.0,0.0,14.466335749214917,26.349397257498595,0.0
87,2020-05-27,21.0,58.0,0.0,10.849751811911187,29.965981194802325,0.0
88,2020-05-28,18.0,61.0,0.0,9.299787267352446,31.515945739361065,0.0
89,2020-05-29,17.0,62.0,0.0,8.783132419166199,32.032600587547314,0.0
90,2020-05-30,18.0,62.0,0.0,9.299787267352446,32.032600587547314,0.0
91,2020-05-31,18.0,62.0,0.0,9.299787267352446,32.032600587547314,0.0
92,2020-06-01,14.0,66.0,0.0,7.233167874607458,34.0992199802923,0.0
93,2020-06-02,13.0,67.0,0.0,6.71651302642121,34.615874828478546,0.0
94,2020-06-03,12.0,68.0,0.0,6.199858178234964,35.132529676664795,0.0
95,2020-06-04,12.0,68.0,0.0,6.199858178234964,35.132529676664795,0.0
96,2020-06-05,9.0,71.0,0.0,4.649893633676223,36.682494221223536,0.0
97,2020-06-06,10.0,71.0,0.0,5.16654848186247,36.682494221223536,0.0
98,2020-06-07,10.0,71.0,0.0,5.16654848186247,36.682494221223536,0.0
99,2020-06-08,8.0,73.0,0.0,4.133238785489976,37.71580391759603,0.0
100,2020-06-09,10.0,73.0,0.0,5.16654848186247,37.71580391759603,0.0
101,2020-06-10,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
102,2020-06-11,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
103,2020-06-12,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
104,2020-06-13,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
105,2020-06-14,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
106,2020-06-15,9.0,74.0,0.0,4.649893633676223,38.232458765782276,0.0
107,2020-06-16,8.0,75.0,0.0,4.133238785489976,38.74911361396852,0.0
108,2020-06-17,6.0,77.0,0.0,3.099929089117482,39.78242331034102,0.0
109,2020-06-18,5.0,78.0,0.0,2.583274240931235,40.299078158527266,0.0
110,2020-06-19,5.0,78.0,0.0,2.583274240931235,40.299078158527266,0.0
111,2020-06-20,5.0,78.0,0.0,2.583274240931235,40.299078158527266,0.0
112,2020-06-21,5.0,78.0,0.0,2.583274240931235,40.299078158527266,0.0
113,2020-06-22,4.0,79.0,0.0,2.066619392744988,40.81573300671351,0.0
114,2020-06-23,4.0,79.0,0.0,2.066619392744988,40.81573300671351,0.0
115,2020-06-24,4.0,79.0,0.0,2.066619392744988,40.81573300671351,0.0
116,2020-06-25,3.0,80.0,0.0,1.549964544558741,41.33238785489976,0.0
117,2020-06-26,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
118,2020-06-27,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
119,2020-06-28,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
120,2020-06-29,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
121,2020-06-30,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
122,2020-07-01,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
123,2020-07-02,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
124,2020-07-03,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
125,2020-07-04,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
126,2020-07-05,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
127,2020-07-06,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
128,2020-07-07,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
129,2020-07-08,2.0,81.0,0.0,1.033309696372494,41.849042703086006,0.0
130,2020-07-09,1.0,82.0,0.0,0.516654848186247,42.36569755127225,0.0
131,2020-07-10,1.0,82.0,0.0,0.516654848186247,42.36569755127225,0.0
132,2020-07-11,2.0,82.0,0.0,1.033309696372494,42.36569755127225,0.0
133,2020-07-12,2.0,82.0,0.0,1.033309696372494,42.36569755127225,0.0
134,2020-07-13,2.0,82.0,0.0,1.033309696372494,42.36569755127225,0.0
