,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.5373703317018036,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.5373703317018036,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.5373703317018036,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.5373703317018036,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.5373703317018036,0.0,0.0
15,2020-03-16,3.0,0.0,0.0,1.612110995105411,0.0,0.0
16,2020-03-17,3.0,0.0,0.0,1.612110995105411,0.0,0.0
17,2020-03-18,4.0,0.0,0.0,2.1494813268072144,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,2.1494813268072144,0.0,0.0
19,2020-03-20,4.0,0.0,0.0,2.1494813268072144,0.0,0.0
20,2020-03-21,4.0,0.0,0.0,2.1494813268072144,0.0,0.0
21,2020-03-22,4.0,0.0,0.0,2.1494813268072144,0.0,0.0
22,2020-03-23,7.0,0.0,0.0,3.7615923219126257,0.0,0.0
23,2020-03-24,9.0,0.0,0.0,4.836332985316233,0.0,0.0
24,2020-03-25,9.0,0.0,0.0,4.836332985316233,0.0,0.0
25,2020-03-26,9.0,0.0,0.0,4.836332985316233,0.0,0.0
26,2020-03-27,9.0,0.0,0.0,4.836332985316233,0.0,0.0
27,2020-03-28,10.0,0.0,0.0,5.373703317018036,0.0,0.0
28,2020-03-29,10.0,0.0,0.0,5.373703317018036,0.0,0.0
29,2020-03-30,10.0,0.0,0.0,5.373703317018036,0.0,0.0
30,2020-03-31,13.0,0.0,0.0,6.985814312123447,0.0,0.0
31,2020-04-01,14.0,0.0,0.0,7.523184643825251,0.0,0.0
32,2020-04-02,13.0,1.0,0.0,6.985814312123447,0.5373703317018036,0.0
33,2020-04-03,14.0,1.0,0.0,7.523184643825251,0.5373703317018036,0.0
34,2020-04-04,15.0,1.0,0.0,8.060554975527054,0.5373703317018036,0.0
35,2020-04-05,15.0,1.0,0.0,8.060554975527054,0.5373703317018036,0.0
36,2020-04-06,15.0,1.0,0.0,8.060554975527054,0.5373703317018036,0.0
37,2020-04-07,14.0,2.0,0.0,7.523184643825251,1.0747406634036072,0.0
38,2020-04-08,14.0,2.0,0.0,7.523184643825251,1.0747406634036072,0.0
39,2020-04-09,14.0,2.0,0.0,7.523184643825251,1.0747406634036072,0.0
40,2020-04-10,14.0,3.0,0.0,7.523184643825251,1.612110995105411,0.0
41,2020-04-11,12.0,5.0,1.0,6.448443980421644,2.686851658509018,0.5373703317018036
42,2020-04-12,17.0,5.0,1.0,9.135295638930662,2.686851658509018,0.5373703317018036
43,2020-04-13,17.0,5.0,1.0,9.135295638930662,2.686851658509018,0.5373703317018036
44,2020-04-14,16.0,6.0,1.0,8.597925307228858,3.224221990210822,0.5373703317018036
45,2020-04-15,22.0,6.0,1.0,11.82214729743968,3.224221990210822,0.5373703317018036
46,2020-04-16,22.0,6.0,1.0,11.82214729743968,3.224221990210822,0.5373703317018036
47,2020-04-17,22.0,7.0,1.0,11.82214729743968,3.7615923219126257,0.5373703317018036
48,2020-04-18,22.0,7.0,1.0,11.82214729743968,3.7615923219126257,0.5373703317018036
49,2020-04-19,22.0,7.0,1.0,11.82214729743968,3.7615923219126257,0.5373703317018036
50,2020-04-20,22.0,7.0,1.0,11.82214729743968,3.7615923219126257,0.5373703317018036
51,2020-04-21,21.0,7.0,2.0,11.284776965737876,3.7615923219126257,1.0747406634036072
52,2020-04-22,18.0,10.0,2.0,9.672665970632465,5.373703317018036,1.0747406634036072
53,2020-04-23,17.0,11.0,2.0,9.135295638930662,5.91107364871984,1.0747406634036072
54,2020-04-24,17.0,11.0,2.0,9.135295638930662,5.91107364871984,1.0747406634036072
55,2020-04-25,18.0,11.0,2.0,9.672665970632465,5.91107364871984,1.0747406634036072
56,2020-04-26,21.0,11.0,2.0,11.284776965737876,5.91107364871984,1.0747406634036072
57,2020-04-27,19.0,13.0,2.0,10.210036302334268,6.985814312123447,1.0747406634036072
58,2020-04-28,18.0,15.0,2.0,9.672665970632465,8.060554975527054,1.0747406634036072
59,2020-04-29,18.0,15.0,2.0,9.672665970632465,8.060554975527054,1.0747406634036072
60,2020-04-30,15.0,18.0,2.0,8.060554975527054,9.672665970632465,1.0747406634036072
61,2020-05-01,15.0,18.0,2.0,8.060554975527054,9.672665970632465,1.0747406634036072
62,2020-05-02,15.0,18.0,2.0,8.060554975527054,9.672665970632465,1.0747406634036072
63,2020-05-03,15.0,18.0,2.0,8.060554975527054,9.672665970632465,1.0747406634036072
64,2020-05-04,13.0,20.0,2.0,6.985814312123447,10.747406634036071,1.0747406634036072
65,2020-05-05,12.0,21.0,2.0,6.448443980421644,11.284776965737876,1.0747406634036072
66,2020-05-06,11.0,22.0,2.0,5.91107364871984,11.82214729743968,1.0747406634036072
67,2020-05-07,8.0,25.0,2.0,4.298962653614429,13.43425829254509,1.0747406634036072
68,2020-05-08,8.0,25.0,2.0,4.298962653614429,13.43425829254509,1.0747406634036072
69,2020-05-09,8.0,25.0,2.0,4.298962653614429,13.43425829254509,1.0747406634036072
70,2020-05-10,8.0,25.0,2.0,4.298962653614429,13.43425829254509,1.0747406634036072
71,2020-05-11,8.0,25.0,2.0,4.298962653614429,13.43425829254509,1.0747406634036072
72,2020-05-12,5.0,28.0,2.0,2.686851658509018,15.046369287650503,1.0747406634036072
73,2020-05-13,5.0,28.0,2.0,2.686851658509018,15.046369287650503,1.0747406634036072
74,2020-05-14,5.0,28.0,2.0,2.686851658509018,15.046369287650503,1.0747406634036072
75,2020-05-15,3.0,30.0,2.0,1.612110995105411,16.12110995105411,1.0747406634036072
76,2020-05-16,4.0,30.0,2.0,2.1494813268072144,16.12110995105411,1.0747406634036072
77,2020-05-17,4.0,30.0,2.0,2.1494813268072144,16.12110995105411,1.0747406634036072
78,2020-05-18,4.0,30.0,2.0,2.1494813268072144,16.12110995105411,1.0747406634036072
79,2020-05-19,3.0,31.0,2.0,1.612110995105411,16.658480282755914,1.0747406634036072
80,2020-05-20,3.0,31.0,2.0,1.612110995105411,16.658480282755914,1.0747406634036072
81,2020-05-21,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
82,2020-05-22,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
83,2020-05-23,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
84,2020-05-24,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
85,2020-05-25,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
86,2020-05-26,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
87,2020-05-27,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
88,2020-05-28,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
89,2020-05-29,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
90,2020-05-30,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
91,2020-05-31,1.0,33.0,2.0,0.5373703317018036,17.73322094615952,1.0747406634036072
92,2020-06-01,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
93,2020-06-02,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
94,2020-06-03,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
95,2020-06-04,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
96,2020-06-05,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
97,2020-06-06,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
98,2020-06-07,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
99,2020-06-08,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
100,2020-06-09,0.0,34.0,2.0,0.0,18.270591277861325,1.0747406634036072
101,2020-06-10,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
102,2020-06-11,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
103,2020-06-12,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
104,2020-06-13,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
105,2020-06-14,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
106,2020-06-15,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
107,2020-06-16,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
108,2020-06-17,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
109,2020-06-18,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
110,2020-06-19,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
111,2020-06-20,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
112,2020-06-21,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
113,2020-06-22,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
114,2020-06-23,2.0,34.0,2.0,1.0747406634036072,18.270591277861325,1.0747406634036072
115,2020-06-24,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
116,2020-06-25,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
117,2020-06-26,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
118,2020-06-27,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
119,2020-06-28,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
120,2020-06-29,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
121,2020-06-30,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
122,2020-07-01,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
123,2020-07-02,1.0,35.0,2.0,0.5373703317018036,18.80796160956313,1.0747406634036072
