,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,1.0,0.0,0.0,0.5006916616837277,0.0,0.0
19,2020-03-20,1.0,0.0,0.0,0.5006916616837277,0.0,0.0
20,2020-03-21,1.0,0.0,0.0,0.5006916616837277,0.0,0.0
21,2020-03-22,2.0,0.0,0.0,1.0013833233674554,0.0,0.0
22,2020-03-23,3.0,0.0,0.0,1.502074985051183,0.0,0.0
23,2020-03-24,4.0,0.0,0.0,2.002766646734911,0.0,0.0
24,2020-03-25,5.0,0.0,0.0,2.5034583084186384,0.0,0.0
25,2020-03-26,7.0,0.0,0.0,3.5048416317860935,0.0,0.0
26,2020-03-27,8.0,0.0,0.0,4.005533293469822,0.0,0.0
27,2020-03-28,8.0,0.0,0.0,4.005533293469822,0.0,0.0
28,2020-03-29,10.0,0.0,0.0,5.006916616837277,0.0,0.0
29,2020-03-30,11.0,0.0,0.0,5.507608278521004,0.0,0.0
30,2020-03-31,12.0,0.0,0.0,6.008299940204732,0.0,0.0
31,2020-04-01,12.0,0.0,0.0,6.008299940204732,0.0,0.0
32,2020-04-02,16.0,0.0,0.0,8.011066586939643,0.0,0.0
33,2020-04-03,15.0,1.0,0.0,7.510374925255914,0.5006916616837277,0.0
34,2020-04-04,16.0,1.0,0.0,8.011066586939643,0.5006916616837277,0.0
35,2020-04-05,16.0,1.0,0.0,8.011066586939643,0.5006916616837277,0.0
36,2020-04-06,16.0,2.0,0.0,8.011066586939643,1.0013833233674554,0.0
37,2020-04-07,16.0,2.0,0.0,8.011066586939643,1.0013833233674554,0.0
38,2020-04-08,14.0,5.0,0.0,7.009683263572187,2.5034583084186384,0.0
39,2020-04-09,14.0,5.0,0.0,7.009683263572187,2.5034583084186384,0.0
40,2020-04-10,15.0,5.0,0.0,7.510374925255914,2.5034583084186384,0.0
41,2020-04-11,18.0,5.0,0.0,9.012449910307097,2.5034583084186384,0.0
42,2020-04-12,16.0,7.0,0.0,8.011066586939643,3.5048416317860935,0.0
43,2020-04-13,15.0,8.0,0.0,7.510374925255914,4.005533293469822,0.0
44,2020-04-14,15.0,8.0,0.0,7.510374925255914,4.005533293469822,0.0
45,2020-04-15,15.0,9.0,0.0,7.510374925255914,4.506224955153549,0.0
46,2020-04-16,14.0,9.0,1.0,7.009683263572187,4.506224955153549,0.5006916616837277
47,2020-04-17,12.0,11.0,1.0,6.008299940204732,5.507608278521004,0.5006916616837277
48,2020-04-18,12.0,11.0,1.0,6.008299940204732,5.507608278521004,0.5006916616837277
49,2020-04-19,12.0,11.0,1.0,6.008299940204732,5.507608278521004,0.5006916616837277
50,2020-04-20,15.0,11.0,1.0,7.510374925255914,5.507608278521004,0.5006916616837277
51,2020-04-21,13.0,12.0,2.0,6.50899160188846,6.008299940204732,1.0013833233674554
52,2020-04-22,10.0,15.0,2.0,5.006916616837277,7.510374925255914,1.0013833233674554
53,2020-04-23,10.0,15.0,2.0,5.006916616837277,7.510374925255914,1.0013833233674554
54,2020-04-24,11.0,15.0,3.0,5.507608278521004,7.510374925255914,1.502074985051183
55,2020-04-25,7.0,19.0,3.0,3.5048416317860935,9.513141571990825,1.502074985051183
56,2020-04-26,9.0,19.0,3.0,4.506224955153549,9.513141571990825,1.502074985051183
57,2020-04-27,8.0,20.0,3.0,4.005533293469822,10.013833233674553,1.502074985051183
58,2020-04-28,9.0,20.0,3.0,4.506224955153549,10.013833233674553,1.502074985051183
59,2020-04-29,13.0,20.0,3.0,6.50899160188846,10.013833233674553,1.502074985051183
60,2020-04-30,15.0,20.0,3.0,7.510374925255914,10.013833233674553,1.502074985051183
61,2020-05-01,13.0,20.0,5.0,6.50899160188846,10.013833233674553,2.5034583084186384
62,2020-05-02,12.0,21.0,6.0,6.008299940204732,10.51452489535828,3.004149970102366
63,2020-05-03,12.0,21.0,6.0,6.008299940204732,10.51452489535828,3.004149970102366
64,2020-05-04,11.0,22.0,6.0,5.507608278521004,11.015216557042008,3.004149970102366
65,2020-05-05,11.0,22.0,6.0,5.507608278521004,11.015216557042008,3.004149970102366
66,2020-05-06,11.0,22.0,6.0,5.507608278521004,11.015216557042008,3.004149970102366
67,2020-05-07,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
68,2020-05-08,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
69,2020-05-09,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
70,2020-05-10,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
71,2020-05-11,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
72,2020-05-12,10.0,23.0,6.0,5.006916616837277,11.515908218725736,3.004149970102366
73,2020-05-13,10.0,24.0,6.0,5.006916616837277,12.016599880409464,3.004149970102366
74,2020-05-14,9.0,25.0,6.0,4.506224955153549,12.51729154209319,3.004149970102366
75,2020-05-15,9.0,25.0,6.0,4.506224955153549,12.51729154209319,3.004149970102366
76,2020-05-16,9.0,25.0,6.0,4.506224955153549,12.51729154209319,3.004149970102366
77,2020-05-17,9.0,25.0,6.0,4.506224955153549,12.51729154209319,3.004149970102366
78,2020-05-18,6.0,28.0,6.0,3.004149970102366,14.019366527144374,3.004149970102366
79,2020-05-19,6.0,28.0,6.0,3.004149970102366,14.019366527144374,3.004149970102366
80,2020-05-20,4.0,30.0,6.0,2.002766646734911,15.020749850511828,3.004149970102366
81,2020-05-21,3.0,31.0,6.0,1.502074985051183,15.521441512195556,3.004149970102366
82,2020-05-22,3.0,31.0,6.0,1.502074985051183,15.521441512195556,3.004149970102366
83,2020-05-23,3.0,31.0,6.0,1.502074985051183,15.521441512195556,3.004149970102366
84,2020-05-24,2.0,32.0,6.0,1.0013833233674554,16.022133173879286,3.004149970102366
85,2020-05-25,0.0,34.0,6.0,0.0,17.02351649724674,3.004149970102366
86,2020-05-26,0.0,34.0,6.0,0.0,17.02351649724674,3.004149970102366
87,2020-05-27,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
88,2020-05-28,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
89,2020-05-29,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
90,2020-05-30,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
91,2020-05-31,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
92,2020-06-01,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
93,2020-06-02,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
94,2020-06-03,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
95,2020-06-04,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
96,2020-06-05,0.0,35.0,6.0,0.0,17.52420815893047,3.004149970102366
97,2020-06-06,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
98,2020-06-07,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
99,2020-06-08,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
100,2020-06-09,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
101,2020-06-10,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
102,2020-06-11,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
103,2020-06-12,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
104,2020-06-13,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
105,2020-06-14,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
106,2020-06-15,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
107,2020-06-16,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
108,2020-06-17,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
109,2020-06-18,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
110,2020-06-19,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
111,2020-06-20,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
112,2020-06-21,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
113,2020-06-22,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
114,2020-06-23,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
115,2020-06-24,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
116,2020-06-25,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
117,2020-06-26,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
118,2020-06-27,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
119,2020-06-28,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
120,2020-06-29,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
121,2020-06-30,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
122,2020-07-01,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
123,2020-07-02,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
124,2020-07-03,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
125,2020-07-04,-1.0,36.0,6.0,-0.5006916616837277,18.024899820614195,3.004149970102366
