,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,2.0,0.0,0.0,0.7397415611814346,0.0,0.0
11,2020-03-12,2.0,0.0,0.0,0.7397415611814346,0.0,0.0
12,2020-03-13,2.0,0.0,0.0,0.7397415611814346,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.7397415611814346,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,1.109612341772152,0.0,0.0
15,2020-03-16,5.0,0.0,0.0,1.8493539029535864,0.0,0.0
16,2020-03-17,5.0,0.0,0.0,1.8493539029535864,0.0,0.0
17,2020-03-18,6.0,0.0,0.0,2.219224683544304,0.0,0.0
18,2020-03-19,7.0,0.0,0.0,2.589095464135021,0.0,0.0
19,2020-03-20,7.0,0.0,0.0,2.589095464135021,0.0,0.0
20,2020-03-21,7.0,0.0,0.0,2.589095464135021,0.0,0.0
21,2020-03-22,7.0,0.0,0.0,2.589095464135021,0.0,0.0
22,2020-03-23,7.0,0.0,0.0,2.589095464135021,0.0,0.0
23,2020-03-24,8.0,0.0,0.0,2.9589662447257385,0.0,0.0
24,2020-03-25,19.0,0.0,0.0,7.027544831223628,0.0,0.0
25,2020-03-26,21.0,0.0,0.0,7.7672863924050635,0.0,0.0
26,2020-03-27,21.0,0.0,0.0,7.7672863924050635,0.0,0.0
27,2020-03-28,22.0,0.0,0.0,8.13715717299578,0.0,0.0
28,2020-03-29,23.0,0.0,0.0,8.5070279535865,0.0,0.0
29,2020-03-30,23.0,0.0,0.0,8.5070279535865,0.0,0.0
30,2020-03-31,23.0,0.0,0.0,8.5070279535865,0.0,0.0
31,2020-04-01,28.0,0.0,0.0,10.356381856540084,0.0,0.0
32,2020-04-02,29.0,0.0,0.0,10.726252637130802,0.0,0.0
33,2020-04-03,30.0,0.0,0.0,11.096123417721518,0.0,0.0
34,2020-04-04,41.0,0.0,0.0,15.164702004219409,0.0,0.0
35,2020-04-05,41.0,0.0,0.0,15.164702004219409,0.0,0.0
36,2020-04-06,43.0,0.0,0.0,15.904443565400843,0.0,0.0
37,2020-04-07,44.0,0.0,0.0,16.27431434599156,0.0,0.0
38,2020-04-08,44.0,1.0,0.0,16.27431434599156,0.3698707805907173,0.0
39,2020-04-09,41.0,4.0,0.0,15.164702004219409,1.4794831223628693,0.0
40,2020-04-10,42.0,4.0,0.0,15.534572784810127,1.4794831223628693,0.0
41,2020-04-11,43.0,5.0,0.0,15.904443565400843,1.8493539029535864,0.0
42,2020-04-12,44.0,5.0,0.0,16.27431434599156,1.8493539029535864,0.0
43,2020-04-13,41.0,7.0,1.0,15.164702004219409,2.589095464135021,0.3698707805907173
44,2020-04-14,41.0,7.0,1.0,15.164702004219409,2.589095464135021,0.3698707805907173
45,2020-04-15,43.0,8.0,1.0,15.904443565400843,2.9589662447257385,0.3698707805907173
46,2020-04-16,44.0,8.0,1.0,16.27431434599156,2.9589662447257385,0.3698707805907173
47,2020-04-17,47.0,8.0,1.0,17.38392668776371,2.9589662447257385,0.3698707805907173
48,2020-04-18,51.0,8.0,1.0,18.863409810126583,2.9589662447257385,0.3698707805907173
49,2020-04-19,49.0,11.0,1.0,18.123668248945147,4.06857858649789,0.3698707805907173
50,2020-04-20,46.0,14.0,1.0,17.014055907173,5.178190928270042,0.3698707805907173
51,2020-04-21,49.0,15.0,1.0,18.123668248945147,5.548061708860759,0.3698707805907173
52,2020-04-22,47.0,18.0,1.0,17.38392668776371,6.657674050632911,0.3698707805907173
53,2020-04-23,42.0,23.0,1.0,15.534572784810127,8.5070279535865,0.3698707805907173
54,2020-04-24,44.0,23.0,1.0,16.27431434599156,8.5070279535865,0.3698707805907173
55,2020-04-25,45.0,23.0,1.0,16.64418512658228,8.5070279535865,0.3698707805907173
56,2020-04-26,45.0,24.0,1.0,16.64418512658228,8.876898734177216,0.3698707805907173
57,2020-04-27,48.0,30.0,1.0,17.75379746835443,11.096123417721518,0.3698707805907173
58,2020-04-28,46.0,33.0,1.0,17.014055907173,12.20573575949367,0.3698707805907173
59,2020-04-29,46.0,36.0,1.0,17.014055907173,13.315348101265823,0.3698707805907173
60,2020-04-30,49.0,38.0,1.0,18.123668248945147,14.055089662447257,0.3698707805907173
61,2020-05-01,54.0,38.0,1.0,19.973022151898736,14.055089662447257,0.3698707805907173
62,2020-05-02,52.0,40.0,1.0,19.2332805907173,14.794831223628691,0.3698707805907173
63,2020-05-03,53.0,40.0,1.0,19.603151371308016,14.794831223628691,0.3698707805907173
64,2020-05-04,49.0,44.0,1.0,18.123668248945147,16.27431434599156,0.3698707805907173
65,2020-05-05,45.0,48.0,1.0,16.64418512658228,17.75379746835443,0.3698707805907173
66,2020-05-06,43.0,51.0,2.0,15.904443565400843,18.863409810126583,0.7397415611814346
67,2020-05-07,38.0,55.0,3.0,14.055089662447257,20.342892932489452,1.109612341772152
68,2020-05-08,38.0,55.0,3.0,14.055089662447257,20.342892932489452,1.109612341772152
69,2020-05-09,39.0,55.0,3.0,14.424960443037975,20.342892932489452,1.109612341772152
70,2020-05-10,39.0,55.0,3.0,14.424960443037975,20.342892932489452,1.109612341772152
71,2020-05-11,36.0,58.0,3.0,13.315348101265823,21.452505274261604,1.109612341772152
72,2020-05-12,34.0,60.0,3.0,12.575606540084388,22.192246835443036,1.109612341772152
73,2020-05-13,34.0,60.0,3.0,12.575606540084388,22.192246835443036,1.109612341772152
74,2020-05-14,32.0,62.0,3.0,11.835864978902954,22.931988396624472,1.109612341772152
75,2020-05-15,28.0,66.0,3.0,10.356381856540084,24.41147151898734,1.109612341772152
76,2020-05-16,29.0,66.0,3.0,10.726252637130802,24.41147151898734,1.109612341772152
77,2020-05-17,29.0,66.0,3.0,10.726252637130802,24.41147151898734,1.109612341772152
78,2020-05-18,25.0,72.0,3.0,9.246769514767932,26.630696202531645,1.109612341772152
79,2020-05-19,24.0,73.0,4.0,8.876898734177216,27.00056698312236,1.4794831223628693
80,2020-05-20,19.0,78.0,4.0,7.027544831223628,28.84992088607595,1.4794831223628693
81,2020-05-21,15.0,82.0,4.0,5.548061708860759,30.329404008438818,1.4794831223628693
82,2020-05-22,15.0,82.0,4.0,5.548061708860759,30.329404008438818,1.4794831223628693
83,2020-05-23,15.0,82.0,4.0,5.548061708860759,30.329404008438818,1.4794831223628693
84,2020-05-24,15.0,82.0,4.0,5.548061708860759,30.329404008438818,1.4794831223628693
85,2020-05-25,16.0,82.0,4.0,5.917932489451477,30.329404008438818,1.4794831223628693
86,2020-05-26,13.0,85.0,4.0,4.808320147679325,31.43901635021097,1.4794831223628693
87,2020-05-27,12.0,86.0,4.0,4.438449367088608,31.808887130801686,1.4794831223628693
88,2020-05-28,11.0,87.0,4.0,4.06857858649789,32.17875791139241,1.4794831223628693
89,2020-05-29,11.0,87.0,4.0,4.06857858649789,32.17875791139241,1.4794831223628693
90,2020-05-30,11.0,87.0,4.0,4.06857858649789,32.17875791139241,1.4794831223628693
91,2020-05-31,11.0,87.0,4.0,4.06857858649789,32.17875791139241,1.4794831223628693
92,2020-06-01,11.0,87.0,4.0,4.06857858649789,32.17875791139241,1.4794831223628693
93,2020-06-02,11.0,88.0,4.0,4.06857858649789,32.54862869198312,1.4794831223628693
94,2020-06-03,12.0,88.0,4.0,4.438449367088608,32.54862869198312,1.4794831223628693
95,2020-06-04,11.0,89.0,5.0,4.06857858649789,32.918499472573835,1.8493539029535864
96,2020-06-05,11.0,89.0,5.0,4.06857858649789,32.918499472573835,1.8493539029535864
97,2020-06-06,11.0,89.0,5.0,4.06857858649789,32.918499472573835,1.8493539029535864
98,2020-06-07,9.0,91.0,6.0,3.3288370253164556,33.658241033755274,2.219224683544304
99,2020-06-08,9.0,91.0,6.0,3.3288370253164556,33.658241033755274,2.219224683544304
100,2020-06-09,9.0,91.0,6.0,3.3288370253164556,33.658241033755274,2.219224683544304
101,2020-06-10,8.0,92.0,6.0,2.9589662447257385,34.028111814346,2.219224683544304
102,2020-06-11,7.0,93.0,6.0,2.589095464135021,34.39798259493671,2.219224683544304
103,2020-06-12,6.0,94.0,6.0,2.219224683544304,34.76785337552742,2.219224683544304
104,2020-06-13,8.0,94.0,6.0,2.9589662447257385,34.76785337552742,2.219224683544304
105,2020-06-14,7.0,95.0,6.0,2.589095464135021,35.137724156118146,2.219224683544304
106,2020-06-15,7.0,95.0,6.0,2.589095464135021,35.137724156118146,2.219224683544304
107,2020-06-16,7.0,96.0,6.0,2.589095464135021,35.50759493670886,2.219224683544304
108,2020-06-17,7.0,96.0,6.0,2.589095464135021,35.50759493670886,2.219224683544304
109,2020-06-18,7.0,96.0,6.0,2.589095464135021,35.50759493670886,2.219224683544304
110,2020-06-19,8.0,96.0,6.0,2.9589662447257385,35.50759493670886,2.219224683544304
111,2020-06-20,8.0,96.0,6.0,2.9589662447257385,35.50759493670886,2.219224683544304
112,2020-06-21,8.0,96.0,6.0,2.9589662447257385,35.50759493670886,2.219224683544304
113,2020-06-22,10.0,96.0,6.0,3.6987078059071727,35.50759493670886,2.219224683544304
114,2020-06-23,10.0,96.0,6.0,3.6987078059071727,35.50759493670886,2.219224683544304
115,2020-06-24,9.0,97.0,6.0,3.3288370253164556,35.87746571729958,2.219224683544304
116,2020-06-25,10.0,97.0,6.0,3.6987078059071727,35.87746571729958,2.219224683544304
117,2020-06-26,10.0,97.0,6.0,3.6987078059071727,35.87746571729958,2.219224683544304
118,2020-06-27,14.0,97.0,6.0,5.178190928270042,35.87746571729958,2.219224683544304
119,2020-06-28,16.0,97.0,6.0,5.917932489451477,35.87746571729958,2.219224683544304
120,2020-06-29,16.0,98.0,6.0,5.917932489451477,36.247336497890295,2.219224683544304
121,2020-06-30,17.0,98.0,6.0,6.287803270042194,36.247336497890295,2.219224683544304
122,2020-07-01,16.0,100.0,6.0,5.917932489451477,36.98707805907173,2.219224683544304
123,2020-07-02,17.0,100.0,6.0,6.287803270042194,36.98707805907173,2.219224683544304
124,2020-07-03,16.0,101.0,6.0,5.917932489451477,37.35694883966245,2.219224683544304
