,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.31005001519798836,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.31005001519798836,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.31005001519798836,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.6201000303959767,0.0,0.0
14,2020-03-15,4.0,0.0,0.0,1.2402000607919534,0.0,0.0
15,2020-03-16,7.0,0.0,0.0,2.1703501063859187,0.0,0.0
16,2020-03-17,12.0,0.0,0.0,3.72060018237586,0.0,0.0
17,2020-03-18,13.0,0.0,0.0,4.0306501975738485,0.0,0.0
18,2020-03-19,16.0,0.0,0.0,4.960800243167814,0.0,0.0
19,2020-03-20,22.0,0.0,0.0,6.8211003343557435,0.0,0.0
20,2020-03-21,25.0,0.0,0.0,7.751250379949708,0.0,0.0
21,2020-03-22,26.0,0.0,0.0,8.061300395147697,0.0,0.0
22,2020-03-23,29.0,0.0,0.0,8.991450440741662,0.0,0.0
23,2020-03-24,35.0,0.0,0.0,10.851750531929593,0.0,0.0
24,2020-03-25,42.0,0.0,0.0,13.02210063831551,0.0,0.0
25,2020-03-26,50.0,0.0,0.0,15.502500759899416,0.0,0.0
26,2020-03-27,68.0,1.0,0.0,21.083401033463208,0.31005001519798836,0.0
27,2020-03-28,76.0,1.0,0.0,23.563801155047113,0.31005001519798836,0.0
28,2020-03-29,77.0,1.0,1.0,23.873851170245104,0.31005001519798836,0.31005001519798836
29,2020-03-30,78.0,1.0,1.0,24.18390118544309,0.31005001519798836,0.31005001519798836
30,2020-03-31,84.0,1.0,1.0,26.04420127663102,0.31005001519798836,0.31005001519798836
31,2020-04-01,87.0,1.0,1.0,26.974351322224987,0.31005001519798836,0.31005001519798836
32,2020-04-02,89.0,1.0,2.0,27.59445135262096,0.31005001519798836,0.6201000303959767
33,2020-04-03,97.0,2.0,2.0,30.07485147420487,0.6201000303959767,0.6201000303959767
34,2020-04-04,102.0,2.0,3.0,31.62510155019481,0.6201000303959767,0.930150045593965
35,2020-04-05,101.0,4.0,3.0,31.315051534996826,1.2402000607919534,0.930150045593965
36,2020-04-06,100.0,9.0,3.0,31.00500151979883,2.790450136781895,0.930150045593965
37,2020-04-07,100.0,11.0,3.0,31.00500151979883,3.4105501671778717,0.930150045593965
38,2020-04-08,102.0,14.0,3.0,31.62510155019481,4.3407002127718375,0.930150045593965
39,2020-04-09,94.0,23.0,4.0,29.144701428610908,7.1311503495537325,1.2402000607919534
40,2020-04-10,98.0,27.0,4.0,30.384901489402857,8.371350410345686,1.2402000607919534
41,2020-04-11,97.0,32.0,4.0,30.07485147420487,9.921600486335628,1.2402000607919534
42,2020-04-12,97.0,32.0,4.0,30.07485147420487,9.921600486335628,1.2402000607919534
43,2020-04-13,93.0,36.0,4.0,28.834651413412914,11.16180054712758,1.2402000607919534
44,2020-04-14,92.0,39.0,4.0,28.52460139821493,12.091950592721545,1.2402000607919534
45,2020-04-15,93.0,45.0,4.0,28.834651413412914,13.952250683909476,1.2402000607919534
46,2020-04-16,92.0,49.0,4.0,28.52460139821493,15.192450744701429,1.2402000607919534
47,2020-04-17,93.0,49.0,4.0,28.834651413412914,15.192450744701429,1.2402000607919534
48,2020-04-18,86.0,62.0,4.0,26.664301307026996,19.223100942275277,1.2402000607919534
49,2020-04-19,84.0,65.0,4.0,26.04420127663102,20.153250987869242,1.2402000607919534
50,2020-04-20,81.0,72.0,4.0,25.114051231037056,22.32360109425516,1.2402000607919534
51,2020-04-21,87.0,72.0,4.0,26.974351322224987,22.32360109425516,1.2402000607919534
52,2020-04-22,78.0,81.0,4.0,24.18390118544309,25.114051231037056,1.2402000607919534
53,2020-04-23,70.0,89.0,4.0,21.703501063859186,27.59445135262096,1.2402000607919534
54,2020-04-24,66.0,93.0,4.0,20.46330100306723,28.834651413412914,1.2402000607919534
55,2020-04-25,65.0,94.0,4.0,20.153250987869242,29.144701428610908,1.2402000607919534
56,2020-04-26,57.0,102.0,4.0,17.672850866285334,31.62510155019481,1.2402000607919534
57,2020-04-27,53.0,106.0,4.0,16.43265080549338,32.86530161098676,1.2402000607919534
58,2020-04-28,51.0,108.0,4.0,15.812550775097405,33.485401641382744,1.2402000607919534
59,2020-04-29,44.0,117.0,4.0,13.642200668711487,36.275851778164636,1.2402000607919534
60,2020-04-30,37.0,125.0,4.0,11.471850562325567,38.75625189974854,1.2402000607919534
61,2020-05-01,35.0,128.0,4.0,10.851750531929593,39.68640194534251,1.2402000607919534
62,2020-05-02,35.0,129.0,4.0,10.851750531929593,39.9964519605405,1.2402000607919534
63,2020-05-03,34.0,130.0,4.0,10.541700516731604,40.306501975738485,1.2402000607919534
64,2020-05-04,32.0,134.0,4.0,9.921600486335628,41.546702036530434,1.2402000607919534
65,2020-05-05,30.0,138.0,4.0,9.30150045593965,42.78690209732239,1.2402000607919534
66,2020-05-06,24.0,145.0,4.0,7.44120036475172,44.95725220370831,1.2402000607919534
67,2020-05-07,20.0,150.0,4.0,6.201000303959767,46.50750227969825,1.2402000607919534
68,2020-05-08,18.0,152.0,4.0,5.58090027356379,47.127602310094225,1.2402000607919534
69,2020-05-09,18.0,152.0,4.0,5.58090027356379,47.127602310094225,1.2402000607919534
70,2020-05-10,18.0,152.0,4.0,5.58090027356379,47.127602310094225,1.2402000607919534
71,2020-05-11,17.0,155.0,4.0,5.270850258365802,48.057752355688194,1.2402000607919534
72,2020-05-12,17.0,155.0,4.0,5.270850258365802,48.057752355688194,1.2402000607919534
73,2020-05-13,15.0,157.0,4.0,4.650750227969825,48.67785238608417,1.2402000607919534
74,2020-05-14,15.0,158.0,4.0,4.650750227969825,48.987902401282156,1.2402000607919534
75,2020-05-15,16.0,159.0,4.0,4.960800243167814,49.29795241648014,1.2402000607919534
76,2020-05-16,15.0,161.0,4.0,4.650750227969825,49.918052446876125,1.2402000607919534
77,2020-05-17,14.0,163.0,4.0,4.3407002127718375,50.5381524772721,1.2402000607919534
78,2020-05-18,16.0,163.0,4.0,4.960800243167814,50.5381524772721,1.2402000607919534
79,2020-05-19,18.0,163.0,4.0,5.58090027356379,50.5381524772721,1.2402000607919534
80,2020-05-20,18.0,164.0,4.0,5.58090027356379,50.84820249247009,1.2402000607919534
81,2020-05-21,18.0,166.0,4.0,5.58090027356379,51.46830252286606,1.2402000607919534
82,2020-05-22,18.0,166.0,4.0,5.58090027356379,51.46830252286606,1.2402000607919534
83,2020-05-23,17.0,167.0,4.0,5.270850258365802,51.778352538064055,1.2402000607919534
84,2020-05-24,18.0,167.0,4.0,5.58090027356379,51.778352538064055,1.2402000607919534
85,2020-05-25,20.0,167.0,4.0,6.201000303959767,51.778352538064055,1.2402000607919534
86,2020-05-26,19.0,168.0,4.0,5.890950288761778,52.08840255326204,1.2402000607919534
87,2020-05-27,20.0,168.0,4.0,6.201000303959767,52.08840255326204,1.2402000607919534
88,2020-05-28,19.0,169.0,4.0,5.890950288761778,52.39845256846003,1.2402000607919534
89,2020-05-29,15.0,173.0,4.0,4.650750227969825,53.63865262925198,1.2402000607919534
90,2020-05-30,12.0,177.0,4.0,3.72060018237586,54.87885269004394,1.2402000607919534
91,2020-05-31,12.0,177.0,4.0,3.72060018237586,54.87885269004394,1.2402000607919534
92,2020-06-01,11.0,178.0,4.0,3.4105501671778717,55.18890270524192,1.2402000607919534
93,2020-06-02,9.0,180.0,4.0,2.790450136781895,55.809002735637904,1.2402000607919534
94,2020-06-03,8.0,181.0,4.0,2.480400121583907,56.119052750835884,1.2402000607919534
95,2020-06-04,8.0,181.0,4.0,2.480400121583907,56.119052750835884,1.2402000607919534
96,2020-06-05,5.0,184.0,4.0,1.5502500759899418,57.04920279642986,1.2402000607919534
97,2020-06-06,5.0,184.0,4.0,1.5502500759899418,57.04920279642986,1.2402000607919534
98,2020-06-07,4.0,185.0,4.0,1.2402000607919534,57.35925281162784,1.2402000607919534
99,2020-06-08,2.0,187.0,4.0,0.6201000303959767,57.97935284202382,1.2402000607919534
100,2020-06-09,3.0,188.0,4.0,0.930150045593965,58.289402857221816,1.2402000607919534
101,2020-06-10,7.0,188.0,4.0,2.1703501063859187,58.289402857221816,1.2402000607919534
102,2020-06-11,11.0,188.0,4.0,3.4105501671778717,58.289402857221816,1.2402000607919534
103,2020-06-12,14.0,188.0,4.0,4.3407002127718375,58.289402857221816,1.2402000607919534
104,2020-06-13,17.0,188.0,4.0,5.270850258365802,58.289402857221816,1.2402000607919534
105,2020-06-14,21.0,188.0,4.0,6.511050319157755,58.289402857221816,1.2402000607919534
106,2020-06-15,21.0,189.0,4.0,6.511050319157755,58.599452872419796,1.2402000607919534
107,2020-06-16,24.0,189.0,4.0,7.44120036475172,58.599452872419796,1.2402000607919534
108,2020-06-17,25.0,189.0,4.0,7.751250379949708,58.599452872419796,1.2402000607919534
109,2020-06-18,26.0,189.0,4.0,8.061300395147697,58.599452872419796,1.2402000607919534
110,2020-06-19,26.0,189.0,4.0,8.061300395147697,58.599452872419796,1.2402000607919534
111,2020-06-20,26.0,189.0,4.0,8.061300395147697,58.599452872419796,1.2402000607919534
112,2020-06-21,25.0,190.0,4.0,7.751250379949708,58.90950288761778,1.2402000607919534
113,2020-06-22,22.0,193.0,4.0,6.8211003343557435,59.839652933211745,1.2402000607919534
114,2020-06-23,26.0,193.0,4.0,8.061300395147697,59.839652933211745,1.2402000607919534
115,2020-06-24,31.0,193.0,4.0,9.611550471137638,59.839652933211745,1.2402000607919534
116,2020-06-25,30.0,194.0,4.0,9.30150045593965,60.14970294840974,1.2402000607919534
117,2020-06-26,32.0,196.0,4.0,9.921600486335628,60.769802978805714,1.2402000607919534
118,2020-06-27,30.0,198.0,4.0,9.30150045593965,61.389903009201696,1.2402000607919534
119,2020-06-28,31.0,198.0,4.0,9.611550471137638,61.389903009201696,1.2402000607919534
120,2020-06-29,35.0,198.0,4.0,10.851750531929593,61.389903009201696,1.2402000607919534
121,2020-06-30,35.0,199.0,4.0,10.851750531929593,61.699953024399676,1.2402000607919534
