,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-20,2.0,0.0,0.0,1.0753277620179407,0.0,0.0
20,2020-03-21,5.0,0.0,0.0,2.688319405044852,0.0,0.0
21,2020-03-22,6.0,0.0,0.0,3.225983286053822,0.0,0.0
22,2020-03-23,11.0,0.0,0.0,5.914302691098674,0.0,0.0
23,2020-03-24,11.0,0.0,0.0,5.914302691098674,0.0,0.0
24,2020-03-25,21.0,0.0,0.0,11.290941501188378,0.0,0.0
25,2020-03-26,21.0,0.0,0.0,11.290941501188378,0.0,0.0
26,2020-03-27,23.0,0.0,0.0,12.366269263206318,0.0,0.0
27,2020-03-28,24.0,0.0,0.0,12.903933144215287,0.0,0.0
28,2020-03-29,26.0,0.0,0.0,13.979260906233227,0.0,0.0
29,2020-03-30,26.0,0.0,0.0,13.979260906233227,0.0,0.0
30,2020-03-31,34.0,0.0,0.0,18.28057195430499,0.0,0.0
31,2020-04-01,37.0,0.0,0.0,19.8935635973319,0.0,0.0
32,2020-04-02,41.0,0.0,0.0,22.044219121367785,0.0,0.0
33,2020-04-03,52.0,0.0,0.0,27.958521812466454,0.0,0.0
34,2020-04-04,56.0,0.0,0.0,30.109177336502338,0.0,0.0
35,2020-04-05,58.0,0.0,0.0,31.18450509852028,0.0,0.0
36,2020-04-06,59.0,0.0,0.0,31.722168979529247,0.0,0.0
37,2020-04-07,60.0,0.0,0.0,32.25983286053822,0.0,0.0
38,2020-04-08,67.0,0.0,0.0,36.02348002760101,0.0,0.0
39,2020-04-09,67.0,0.0,0.0,36.02348002760101,0.0,0.0
40,2020-04-10,69.0,0.0,0.0,37.09880778961895,0.0,0.0
41,2020-04-11,69.0,0.0,0.0,37.09880778961895,0.0,0.0
42,2020-04-12,69.0,0.0,0.0,37.09880778961895,0.0,0.0
43,2020-04-13,67.0,3.0,0.0,36.02348002760101,1.612991643026911,0.0
44,2020-04-14,65.0,5.0,0.0,34.94815226558307,2.688319405044852,0.0
45,2020-04-15,60.0,10.0,0.0,32.25983286053822,5.376638810089704,0.0
46,2020-04-16,55.0,15.0,0.0,29.57151345549337,8.064958215134554,0.0
47,2020-04-17,46.0,24.0,0.0,24.732538526412636,12.903933144215287,0.0
48,2020-04-18,40.0,31.0,0.0,21.506555240358814,16.66758031127808,0.0
49,2020-04-19,40.0,33.0,0.0,21.506555240358814,17.74290807329602,0.0
50,2020-04-20,37.0,36.0,0.0,19.8935635973319,19.35589971632293,0.0
51,2020-04-21,33.0,40.0,0.0,17.74290807329602,21.506555240358814,0.0
52,2020-04-22,25.0,49.0,0.0,13.441597025224258,26.345530169439545,0.0
53,2020-04-23,23.0,51.0,0.0,12.366269263206318,27.420857931457487,0.0
54,2020-04-24,19.0,56.0,0.0,10.215613739170436,30.109177336502338,0.0
55,2020-04-25,17.0,58.0,0.0,9.140285977152494,31.18450509852028,0.0
56,2020-04-26,16.0,59.0,0.0,8.602622096143525,31.722168979529247,0.0
57,2020-04-27,13.0,62.0,0.0,6.989630453116614,33.33516062255616,0.0
58,2020-04-28,11.0,64.0,0.0,5.914302691098674,34.4104883845741,0.0
59,2020-04-29,12.0,64.0,0.0,6.451966572107644,34.4104883845741,0.0
60,2020-04-30,11.0,65.0,0.0,5.914302691098674,34.94815226558307,0.0
61,2020-05-01,13.0,65.0,0.0,6.989630453116614,34.94815226558307,0.0
62,2020-05-02,12.0,66.0,0.0,6.451966572107644,35.48581614659204,0.0
63,2020-05-03,12.0,66.0,0.0,6.451966572107644,35.48581614659204,0.0
64,2020-05-04,11.0,67.0,0.0,5.914302691098674,36.02348002760101,0.0
65,2020-05-05,10.0,68.0,0.0,5.376638810089704,36.56114390860998,0.0
66,2020-05-06,9.0,69.0,0.0,4.838974929080733,37.09880778961895,0.0
67,2020-05-07,7.0,71.0,0.0,3.7636471670627922,38.174135551636894,0.0
68,2020-05-08,7.0,71.0,0.0,3.7636471670627922,38.174135551636894,0.0
69,2020-05-09,6.0,72.0,0.0,3.225983286053822,38.71179943264586,0.0
70,2020-05-10,6.0,72.0,0.0,3.225983286053822,38.71179943264586,0.0
71,2020-05-11,7.0,72.0,0.0,3.7636471670627922,38.71179943264586,0.0
72,2020-05-12,7.0,72.0,0.0,3.7636471670627922,38.71179943264586,0.0
73,2020-05-13,6.0,73.0,0.0,3.225983286053822,39.249463313654836,0.0
74,2020-05-14,5.0,74.0,0.0,2.688319405044852,39.7871271946638,0.0
75,2020-05-15,5.0,74.0,0.0,2.688319405044852,39.7871271946638,0.0
76,2020-05-16,4.0,75.0,0.0,2.1506555240358813,40.32479107567278,0.0
77,2020-05-17,3.0,76.0,0.0,1.612991643026911,40.862454956681745,0.0
78,2020-05-18,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
79,2020-05-19,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
80,2020-05-20,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
81,2020-05-21,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
82,2020-05-22,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
83,2020-05-23,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
84,2020-05-24,2.0,77.0,0.0,1.0753277620179407,41.40011883769072,0.0
85,2020-05-25,1.0,78.0,0.0,0.5376638810089703,41.93778271869969,0.0
86,2020-05-26,1.0,78.0,0.0,0.5376638810089703,41.93778271869969,0.0
87,2020-05-27,1.0,78.0,0.0,0.5376638810089703,41.93778271869969,0.0
88,2020-05-28,1.0,78.0,0.0,0.5376638810089703,41.93778271869969,0.0
89,2020-05-29,0.0,79.0,0.0,0.0,42.475446599708654,0.0
90,2020-05-30,0.0,79.0,0.0,0.0,42.475446599708654,0.0
91,2020-05-31,0.0,79.0,0.0,0.0,42.475446599708654,0.0
92,2020-06-01,0.0,79.0,0.0,0.0,42.475446599708654,0.0
93,2020-06-02,0.0,79.0,0.0,0.0,42.475446599708654,0.0
94,2020-06-03,0.0,79.0,0.0,0.0,42.475446599708654,0.0
95,2020-06-04,0.0,79.0,0.0,0.0,42.475446599708654,0.0
96,2020-06-05,0.0,79.0,0.0,0.0,42.475446599708654,0.0
97,2020-06-06,0.0,79.0,0.0,0.0,42.475446599708654,0.0
98,2020-06-07,0.0,79.0,0.0,0.0,42.475446599708654,0.0
99,2020-06-08,0.0,79.0,0.0,0.0,42.475446599708654,0.0
100,2020-06-09,0.0,79.0,0.0,0.0,42.475446599708654,0.0
101,2020-06-10,0.0,79.0,0.0,0.0,42.475446599708654,0.0
102,2020-06-11,1.0,79.0,0.0,0.5376638810089703,42.475446599708654,0.0
103,2020-06-12,1.0,79.0,0.0,0.5376638810089703,42.475446599708654,0.0
104,2020-06-13,1.0,79.0,0.0,0.5376638810089703,42.475446599708654,0.0
105,2020-06-14,1.0,79.0,0.0,0.5376638810089703,42.475446599708654,0.0
106,2020-06-15,2.0,79.0,0.0,1.0753277620179407,42.475446599708654,0.0
107,2020-06-16,2.0,79.0,0.0,1.0753277620179407,42.475446599708654,0.0
108,2020-06-17,2.0,79.0,0.0,1.0753277620179407,42.475446599708654,0.0
109,2020-06-18,3.0,79.0,0.0,1.612991643026911,42.475446599708654,0.0
110,2020-06-19,3.0,79.0,0.0,1.612991643026911,42.475446599708654,0.0
111,2020-06-20,6.0,79.0,0.0,3.225983286053822,42.475446599708654,0.0
112,2020-06-21,13.0,79.0,0.0,6.989630453116614,42.475446599708654,0.0
113,2020-06-22,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
114,2020-06-23,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
115,2020-06-24,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
116,2020-06-25,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
117,2020-06-26,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
118,2020-06-27,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
119,2020-06-28,15.0,79.0,0.0,8.064958215134554,42.475446599708654,0.0
120,2020-06-29,17.0,79.0,0.0,9.140285977152494,42.475446599708654,0.0
121,2020-06-30,17.0,79.0,0.0,9.140285977152494,42.475446599708654,0.0
122,2020-07-01,18.0,79.0,0.0,9.677949858161465,42.475446599708654,0.0
123,2020-07-02,18.0,79.0,0.0,9.677949858161465,42.475446599708654,0.0
124,2020-07-03,17.0,80.0,0.0,9.140285977152494,43.01311048071763,0.0
125,2020-07-04,17.0,80.0,0.0,9.140285977152494,43.01311048071763,0.0
126,2020-07-05,17.0,80.0,0.0,9.140285977152494,43.01311048071763,0.0
127,2020-07-06,17.0,80.0,0.0,9.140285977152494,43.01311048071763,0.0
128,2020-07-07,15.0,83.0,0.0,8.064958215134554,44.62610212374454,0.0
129,2020-07-08,15.0,83.0,0.0,8.064958215134554,44.62610212374454,0.0
130,2020-07-09,15.0,86.0,0.0,8.064958215134554,46.239093766771454,0.0
131,2020-07-10,10.0,91.0,0.0,5.376638810089704,48.927413171816305,0.0
132,2020-07-11,10.0,91.0,0.0,5.376638810089704,48.927413171816305,0.0
133,2020-07-12,10.0,91.0,0.0,5.376638810089704,48.927413171816305,0.0
134,2020-07-13,10.0,91.0,0.0,5.376638810089704,48.927413171816305,0.0
135,2020-07-14,9.0,92.0,0.0,4.838974929080733,49.46507705282527,0.0
136,2020-07-15,9.0,92.0,0.0,4.838974929080733,49.46507705282527,0.0
