,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.9063035120028433,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.9063035120028433,0.0,0.0
16,2020-03-17,1.0,0.0,0.0,0.9063035120028433,0.0,0.0
17,2020-03-18,3.0,0.0,0.0,2.7189105360085297,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,3.6252140480113733,0.0,0.0
19,2020-03-20,4.0,0.0,0.0,3.6252140480113733,0.0,0.0
20,2020-03-21,5.0,0.0,0.0,4.531517560014216,0.0,0.0
21,2020-03-22,5.0,0.0,0.0,4.531517560014216,0.0,0.0
22,2020-03-23,7.0,0.0,0.0,6.3441245840199025,0.0,0.0
23,2020-03-24,10.0,0.0,0.0,9.063035120028433,0.0,0.0
24,2020-03-25,18.0,0.0,0.0,16.313463216051176,0.0,0.0
25,2020-03-26,34.0,0.0,0.0,30.81431940809667,0.0,0.0
26,2020-03-27,43.0,0.0,0.0,38.97105101612226,0.0,0.0
27,2020-03-28,56.0,0.0,0.0,50.75299667215922,0.0,0.0
28,2020-03-29,56.0,0.0,0.0,50.75299667215922,0.0,0.0
29,2020-03-30,74.0,0.0,0.0,67.0664598882104,0.0,0.0
30,2020-03-31,91.0,0.0,0.0,82.47361959225873,0.0,0.0
31,2020-04-01,93.0,3.0,0.0,84.28622661626441,2.7189105360085297,0.0
32,2020-04-02,96.0,4.0,0.0,87.00513715227295,3.6252140480113733,0.0
33,2020-04-03,115.0,4.0,2.0,104.22490388032698,3.6252140480113733,1.8126070240056866
34,2020-04-04,144.0,4.0,2.0,130.5077057284094,3.6252140480113733,1.8126070240056866
35,2020-04-05,148.0,4.0,2.0,134.1329197764208,3.6252140480113733,1.8126070240056866
36,2020-04-06,152.0,5.0,2.0,137.75813382443215,4.531517560014216,1.8126070240056866
37,2020-04-07,172.0,9.0,2.0,155.88420406448904,8.156731608025588,1.8126070240056866
38,2020-04-08,199.0,14.0,2.0,180.3543988885658,12.688249168039805,1.8126070240056866
39,2020-04-09,206.0,16.0,4.0,186.69852347258572,14.500856192045493,3.6252140480113733
40,2020-04-10,212.0,23.0,4.0,192.13634454460276,20.844980776065395,3.6252140480113733
41,2020-04-11,219.0,30.0,5.0,198.48046912862267,27.189105360085296,4.531517560014216
42,2020-04-12,220.0,33.0,6.0,199.3867726406255,29.908015896093826,5.437821072017059
43,2020-04-13,215.0,41.0,6.0,194.85525508061127,37.15844399211657,5.437821072017059
44,2020-04-14,222.0,42.0,7.0,201.19937966463118,38.06474750411942,6.3441245840199025
45,2020-04-15,228.0,48.0,7.0,206.63720073664825,43.502568576136476,6.3441245840199025
46,2020-04-16,223.0,59.0,7.0,202.10568317663405,53.47190720816775,6.3441245840199025
47,2020-04-17,223.0,68.0,7.0,202.10568317663405,61.62863881619334,6.3441245840199025
48,2020-04-18,223.0,70.0,7.0,202.10568317663405,63.44124584019903,6.3441245840199025
49,2020-04-19,234.0,76.0,7.0,212.0750218086653,68.87906691221608,6.3441245840199025
50,2020-04-20,225.0,85.0,7.0,203.91829020063972,77.03579852024167,6.3441245840199025
51,2020-04-21,220.0,91.0,7.0,199.3867726406255,82.47361959225873,6.3441245840199025
52,2020-04-22,213.0,98.0,7.0,193.0426480566056,88.81774417627864,6.3441245840199025
53,2020-04-23,201.0,115.0,7.0,182.16700591257148,104.22490388032698,6.3441245840199025
54,2020-04-24,193.0,125.0,7.0,174.91657781654874,113.2879390003554,6.3441245840199025
55,2020-04-25,180.0,139.0,7.0,163.13463216051179,125.9761881683952,6.3441245840199025
56,2020-04-26,169.0,151.0,7.0,153.1652935284805,136.8518303124293,6.3441245840199025
57,2020-04-27,155.0,165.0,7.0,140.47704436044071,149.54007948046913,6.3441245840199025
58,2020-04-28,147.0,173.0,7.0,133.22661626441794,156.79050757649188,6.3441245840199025
59,2020-04-29,138.0,184.0,7.0,125.06988465639238,166.75984620852316,6.3441245840199025
60,2020-04-30,130.0,194.0,7.0,117.8194565603696,175.8228813285516,6.3441245840199025
61,2020-05-01,121.0,203.0,7.0,109.66272495234404,183.97961293657715,6.3441245840199025
62,2020-05-02,118.0,208.0,7.0,106.9438144163355,188.51113049659136,6.3441245840199025
63,2020-05-03,113.0,213.0,7.0,102.41229685632129,193.0426480566056,6.3441245840199025
64,2020-05-04,107.0,219.0,8.0,96.97447578430422,198.48046912862267,7.2504280960227465
65,2020-05-05,99.0,227.0,8.0,89.72404768828147,205.7308972246454,7.2504280960227465
66,2020-05-06,88.0,240.0,8.0,79.75470905625019,217.51284288068237,7.2504280960227465
67,2020-05-07,80.0,248.0,8.0,72.50428096022746,224.76327097670512,7.2504280960227465
68,2020-05-08,71.0,257.0,8.0,64.34754935220187,232.92000258473072,7.2504280960227465
69,2020-05-09,61.0,267.0,8.0,55.284514232173436,241.98303770475914,7.2504280960227465
70,2020-05-10,60.0,268.0,8.0,54.37821072017059,242.88934121676198,7.2504280960227465
71,2020-05-11,59.0,270.0,8.0,53.47190720816775,244.70194824076765,7.2504280960227465
72,2020-05-12,54.0,276.0,8.0,48.940389648153534,250.13976931278475,7.2504280960227465
73,2020-05-13,51.0,279.0,8.0,46.221479112145005,252.85867984879323,7.2504280960227465
74,2020-05-14,53.0,281.0,8.0,48.03408613615069,254.67128687279896,7.2504280960227465
75,2020-05-15,54.0,282.0,8.0,48.940389648153534,255.5775903848018,7.2504280960227465
76,2020-05-16,53.0,284.0,8.0,48.03408613615069,257.39019740880747,7.2504280960227465
77,2020-05-17,53.0,284.0,8.0,48.03408613615069,257.39019740880747,7.2504280960227465
78,2020-05-18,51.0,287.0,8.0,46.221479112145005,260.109107944816,7.2504280960227465
79,2020-05-19,50.0,288.0,8.0,45.31517560014216,261.0154114568188,7.2504280960227465
80,2020-05-20,45.0,295.0,8.0,40.783658040127946,267.35953604083875,7.2504280960227465
81,2020-05-21,46.0,295.0,8.0,41.68996155213079,267.35953604083875,7.2504280960227465
82,2020-05-22,38.0,303.0,8.0,34.43953345610804,274.6099641368615,7.2504280960227465
83,2020-05-23,38.0,303.0,8.0,34.43953345610804,274.6099641368615,7.2504280960227465
84,2020-05-24,36.0,305.0,8.0,32.62692643210235,276.4225711608672,7.2504280960227465
85,2020-05-25,28.0,313.0,8.0,25.37649833607961,283.6729992568899,7.2504280960227465
86,2020-05-26,26.0,315.0,8.0,23.56389131207392,285.48560628089564,7.2504280960227465
87,2020-05-27,22.0,319.0,8.0,19.938677264062548,289.110820328907,7.2504280960227465
88,2020-05-28,22.0,319.0,8.0,19.938677264062548,289.110820328907,7.2504280960227465
89,2020-05-29,14.0,327.0,8.0,12.688249168039805,296.3612484249297,7.2504280960227465
90,2020-05-30,13.0,328.0,8.0,11.78194565603696,297.26755193693253,7.2504280960227465
91,2020-05-31,12.0,329.0,8.0,10.875642144034119,298.17385544893546,7.2504280960227465
92,2020-06-01,11.0,330.0,8.0,9.969338632031274,299.08015896093826,7.2504280960227465
93,2020-06-02,11.0,330.0,8.0,9.969338632031274,299.08015896093826,7.2504280960227465
94,2020-06-03,10.0,331.0,8.0,9.063035120028433,299.9864624729411,7.2504280960227465
95,2020-06-04,10.0,331.0,8.0,9.063035120028433,299.9864624729411,7.2504280960227465
96,2020-06-05,9.0,332.0,8.0,8.156731608025588,300.89276598494394,7.2504280960227465
97,2020-06-06,9.0,332.0,8.0,8.156731608025588,300.89276598494394,7.2504280960227465
98,2020-06-07,9.0,332.0,8.0,8.156731608025588,300.89276598494394,7.2504280960227465
99,2020-06-08,6.0,335.0,8.0,5.437821072017059,303.61167652095247,7.2504280960227465
100,2020-06-09,5.0,336.0,8.0,4.531517560014216,304.51798003295534,7.2504280960227465
101,2020-06-10,4.0,337.0,8.0,3.6252140480113733,305.42428354495814,7.2504280960227465
102,2020-06-11,4.0,337.0,8.0,3.6252140480113733,305.42428354495814,7.2504280960227465
103,2020-06-12,0.0,341.0,8.0,0.0,309.04949759296954,7.2504280960227465
104,2020-06-13,0.0,341.0,8.0,0.0,309.04949759296954,7.2504280960227465
105,2020-06-14,0.0,341.0,8.0,0.0,309.04949759296954,7.2504280960227465
106,2020-06-15,0.0,341.0,8.0,0.0,309.04949759296954,7.2504280960227465
107,2020-06-16,1.0,341.0,8.0,0.9063035120028433,309.04949759296954,7.2504280960227465
108,2020-06-17,1.0,341.0,8.0,0.9063035120028433,309.04949759296954,7.2504280960227465
109,2020-06-18,0.0,342.0,8.0,0.0,309.95580110497235,7.2504280960227465
110,2020-06-19,1.0,342.0,8.0,0.9063035120028433,309.95580110497235,7.2504280960227465
111,2020-06-20,1.0,342.0,8.0,0.9063035120028433,309.95580110497235,7.2504280960227465
112,2020-06-21,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
113,2020-06-22,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
114,2020-06-23,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
115,2020-06-24,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
116,2020-06-25,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
117,2020-06-26,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
118,2020-06-27,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
119,2020-06-28,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
120,2020-06-29,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
121,2020-06-30,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
122,2020-07-01,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
123,2020-07-02,4.0,342.0,8.0,3.6252140480113733,309.95580110497235,7.2504280960227465
