,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,1.0628196870382298,0.0,0.0
17,2020-03-18,5.0,0.0,0.0,2.6570492175955747,0.0,0.0
18,2020-03-19,7.0,0.0,0.0,3.7198689046338043,0.0,0.0
19,2020-03-20,7.0,0.0,0.0,3.7198689046338043,0.0,0.0
20,2020-03-21,8.0,0.0,0.0,4.251278748152919,0.0,0.0
21,2020-03-22,11.0,0.0,0.0,5.8455082787102635,0.0,0.0
22,2020-03-23,13.0,0.0,0.0,6.908327965748494,0.0,0.0
23,2020-03-24,13.0,0.0,0.0,6.908327965748494,0.0,0.0
24,2020-03-25,13.0,0.0,0.0,6.908327965748494,0.0,0.0
25,2020-03-26,13.0,0.0,0.0,6.908327965748494,0.0,0.0
26,2020-03-27,13.0,0.0,0.0,6.908327965748494,0.0,0.0
27,2020-03-28,14.0,0.0,0.0,7.4397378092676085,0.0,0.0
28,2020-03-29,15.0,0.0,0.0,7.9711476527867235,0.0,0.0
29,2020-03-30,15.0,0.0,0.0,7.9711476527867235,0.0,0.0
30,2020-03-31,16.0,0.0,0.0,8.502557496305839,0.0,0.0
31,2020-04-01,16.0,1.0,0.0,8.502557496305839,0.5314098435191149,0.0
32,2020-04-02,17.0,1.0,0.0,9.033967339824953,0.5314098435191149,0.0
33,2020-04-03,19.0,1.0,0.0,10.096787026863185,0.5314098435191149,0.0
34,2020-04-04,19.0,1.0,0.0,10.096787026863185,0.5314098435191149,0.0
35,2020-04-05,18.0,2.0,0.0,9.565377183344069,1.0628196870382298,0.0
36,2020-04-06,17.0,4.0,0.0,9.033967339824953,2.1256393740764596,0.0
37,2020-04-07,18.0,4.0,0.0,9.565377183344069,2.1256393740764596,0.0
38,2020-04-08,19.0,4.0,0.0,10.096787026863185,2.1256393740764596,0.0
39,2020-04-09,18.0,6.0,0.0,9.565377183344069,3.1884590611146892,0.0
40,2020-04-10,16.0,8.0,0.0,8.502557496305839,4.251278748152919,0.0
41,2020-04-11,16.0,8.0,0.0,8.502557496305839,4.251278748152919,0.0
42,2020-04-12,16.0,8.0,0.0,8.502557496305839,4.251278748152919,0.0
43,2020-04-13,16.0,8.0,0.0,8.502557496305839,4.251278748152919,0.0
44,2020-04-14,15.0,9.0,0.0,7.9711476527867235,4.782688591672034,0.0
45,2020-04-15,16.0,9.0,0.0,8.502557496305839,4.782688591672034,0.0
46,2020-04-16,15.0,10.0,0.0,7.9711476527867235,5.314098435191149,0.0
47,2020-04-17,12.0,13.0,0.0,6.3769181222293785,6.908327965748494,0.0
48,2020-04-18,12.0,13.0,0.0,6.3769181222293785,6.908327965748494,0.0
49,2020-04-19,11.0,14.0,0.0,5.8455082787102635,7.4397378092676085,0.0
50,2020-04-20,10.0,17.0,0.0,5.314098435191149,9.033967339824953,0.0
51,2020-04-21,9.0,18.0,0.0,4.782688591672034,9.565377183344069,0.0
52,2020-04-22,9.0,20.0,0.0,4.782688591672034,10.628196870382299,0.0
53,2020-04-23,7.0,22.0,0.0,3.7198689046338043,11.691016557420527,0.0
54,2020-04-24,6.0,23.0,0.0,3.1884590611146892,12.222426400939643,0.0
55,2020-04-25,7.0,23.0,0.0,3.7198689046338043,12.222426400939643,0.0
56,2020-04-26,7.0,23.0,0.0,3.7198689046338043,12.222426400939643,0.0
57,2020-04-27,7.0,23.0,0.0,3.7198689046338043,12.222426400939643,0.0
58,2020-04-28,6.0,24.0,0.0,3.1884590611146892,12.753836244458757,0.0
59,2020-04-29,5.0,25.0,0.0,2.6570492175955747,13.285246087977873,0.0
60,2020-04-30,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
61,2020-05-01,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
62,2020-05-02,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
63,2020-05-03,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
64,2020-05-04,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
65,2020-05-05,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
66,2020-05-06,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
67,2020-05-07,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
68,2020-05-08,4.0,26.0,0.0,2.1256393740764596,13.816655931496989,0.0
69,2020-05-09,3.0,27.0,0.0,1.5942295305573446,14.348065775016101,0.0
70,2020-05-10,3.0,27.0,0.0,1.5942295305573446,14.348065775016101,0.0
71,2020-05-11,3.0,27.0,0.0,1.5942295305573446,14.348065775016101,0.0
72,2020-05-12,4.0,27.0,0.0,2.1256393740764596,14.348065775016101,0.0
73,2020-05-13,3.0,28.0,0.0,1.5942295305573446,14.879475618535217,0.0
74,2020-05-14,3.0,28.0,0.0,1.5942295305573446,14.879475618535217,0.0
75,2020-05-15,3.0,28.0,0.0,1.5942295305573446,14.879475618535217,0.0
76,2020-05-16,3.0,28.0,0.0,1.5942295305573446,14.879475618535217,0.0
77,2020-05-17,4.0,28.0,0.0,2.1256393740764596,14.879475618535217,0.0
78,2020-05-18,3.0,29.0,0.0,1.5942295305573446,15.410885462054331,0.0
79,2020-05-19,3.0,29.0,0.0,1.5942295305573446,15.410885462054331,0.0
80,2020-05-20,3.0,29.0,0.0,1.5942295305573446,15.410885462054331,0.0
81,2020-05-21,4.0,29.0,0.0,2.1256393740764596,15.410885462054331,0.0
82,2020-05-22,4.0,29.0,0.0,2.1256393740764596,15.410885462054331,0.0
83,2020-05-23,4.0,29.0,0.0,2.1256393740764596,15.410885462054331,0.0
84,2020-05-24,4.0,29.0,0.0,2.1256393740764596,15.410885462054331,0.0
85,2020-05-25,4.0,29.0,0.0,2.1256393740764596,15.410885462054331,0.0
86,2020-05-26,5.0,30.0,0.0,2.6570492175955747,15.942295305573447,0.0
87,2020-05-27,5.0,30.0,0.0,2.6570492175955747,15.942295305573447,0.0
88,2020-05-28,5.0,31.0,0.0,2.6570492175955747,16.473705149092563,0.0
89,2020-05-29,5.0,31.0,0.0,2.6570492175955747,16.473705149092563,0.0
90,2020-05-30,4.0,32.0,0.0,2.1256393740764596,17.005114992611677,0.0
91,2020-05-31,4.0,32.0,0.0,2.1256393740764596,17.005114992611677,0.0
92,2020-06-01,4.0,32.0,0.0,2.1256393740764596,17.005114992611677,0.0
93,2020-06-02,4.0,32.0,0.0,2.1256393740764596,17.005114992611677,0.0
94,2020-06-03,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
95,2020-06-04,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
96,2020-06-05,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
97,2020-06-06,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
98,2020-06-07,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
99,2020-06-08,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
100,2020-06-09,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
101,2020-06-10,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
102,2020-06-11,3.0,33.0,0.0,1.5942295305573446,17.53652483613079,0.0
103,2020-06-12,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
104,2020-06-13,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
105,2020-06-14,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
106,2020-06-15,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
107,2020-06-16,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
108,2020-06-17,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
109,2020-06-18,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
110,2020-06-19,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
111,2020-06-20,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
112,2020-06-21,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
113,2020-06-22,2.0,34.0,0.0,1.0628196870382298,18.067934679649905,0.0
114,2020-06-23,5.0,34.0,0.0,2.6570492175955747,18.067934679649905,0.0
115,2020-06-24,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
116,2020-06-25,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
117,2020-06-26,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
118,2020-06-27,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
119,2020-06-28,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
120,2020-06-29,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
121,2020-06-30,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
122,2020-07-01,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
123,2020-07-02,5.0,35.0,0.0,2.6570492175955747,18.599344523169023,0.0
124,2020-07-03,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
125,2020-07-04,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
126,2020-07-05,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
127,2020-07-06,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
128,2020-07-07,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
129,2020-07-08,4.0,36.0,0.0,2.1256393740764596,19.130754366688137,0.0
130,2020-07-09,3.0,37.0,0.0,1.5942295305573446,19.66216421020725,0.0
131,2020-07-10,1.0,39.0,0.0,0.5314098435191149,20.724983897245483,0.0
132,2020-07-11,2.0,39.0,0.0,1.0628196870382298,20.724983897245483,0.0
