,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,1.0,0.0,0.0,0.2883161600328905,0.0,0.0
13,2020-03-14,1.0,0.0,0.0,0.2883161600328905,0.0,0.0
14,2020-03-15,1.0,0.0,0.0,0.2883161600328905,0.0,0.0
15,2020-03-16,1.0,0.0,0.0,0.2883161600328905,0.0,0.0
16,2020-03-17,3.0,0.0,0.0,0.8649484800986715,0.0,0.0
17,2020-03-18,4.0,0.0,0.0,1.153264640131562,0.0,0.0
18,2020-03-19,4.0,0.0,0.0,1.153264640131562,0.0,0.0
19,2020-03-20,5.0,0.0,0.0,1.4415808001644526,0.0,0.0
20,2020-03-21,6.0,0.0,0.0,1.729896960197343,0.0,0.0
21,2020-03-22,6.0,0.0,0.0,1.729896960197343,0.0,0.0
22,2020-03-23,8.0,0.0,0.0,2.306529280263124,0.0,0.0
23,2020-03-24,10.0,0.0,0.0,2.883161600328905,0.0,0.0
24,2020-03-25,13.0,0.0,0.0,3.7481100804275767,0.0,0.0
25,2020-03-26,13.0,0.0,0.0,3.7481100804275767,0.0,0.0
26,2020-03-27,14.0,0.0,0.0,4.036426240460467,0.0,0.0
27,2020-03-28,15.0,0.0,0.0,4.324742400493357,0.0,0.0
28,2020-03-29,15.0,0.0,0.0,4.324742400493357,0.0,0.0
29,2020-03-30,16.0,0.0,0.0,4.613058560526248,0.0,0.0
30,2020-03-31,17.0,0.0,0.0,4.901374720559138,0.0,0.0
31,2020-04-01,18.0,0.0,0.0,5.189690880592029,0.0,0.0
32,2020-04-02,20.0,0.0,0.0,5.76632320065781,0.0,0.0
33,2020-04-03,21.0,0.0,0.0,6.0546393606907,0.0,0.0
34,2020-04-04,21.0,0.0,0.0,6.0546393606907,0.0,0.0
35,2020-04-05,20.0,1.0,0.0,5.76632320065781,0.2883161600328905,0.0
36,2020-04-06,20.0,1.0,0.0,5.76632320065781,0.2883161600328905,0.0
37,2020-04-07,20.0,1.0,0.0,5.76632320065781,0.2883161600328905,0.0
38,2020-04-08,23.0,1.0,0.0,6.631271680756481,0.2883161600328905,0.0
39,2020-04-09,23.0,2.0,0.0,6.631271680756481,0.576632320065781,0.0
40,2020-04-10,29.0,3.0,0.0,8.361168640953824,0.8649484800986715,0.0
41,2020-04-11,32.0,3.0,0.0,9.226117121052496,0.8649484800986715,0.0
42,2020-04-12,35.0,3.0,0.0,10.091065601151168,0.8649484800986715,0.0
43,2020-04-13,35.0,4.0,0.0,10.091065601151168,1.153264640131562,0.0
44,2020-04-14,32.0,7.0,0.0,9.226117121052496,2.0182131202302336,0.0
45,2020-04-15,31.0,8.0,0.0,8.937800961019606,2.306529280263124,0.0
46,2020-04-16,32.0,9.0,0.0,9.226117121052496,2.5948454402960146,0.0
47,2020-04-17,30.0,11.0,0.0,8.649484800986714,3.1714777603617956,0.0
48,2020-04-18,30.0,11.0,0.0,8.649484800986714,3.1714777603617956,0.0
49,2020-04-19,30.0,11.0,0.0,8.649484800986714,3.1714777603617956,0.0
50,2020-04-20,29.0,12.0,0.0,8.361168640953824,3.459793920394686,0.0
51,2020-04-21,27.0,14.0,0.0,7.784536320888043,4.036426240460467,0.0
52,2020-04-22,26.0,15.0,0.0,7.496220160855153,4.324742400493357,0.0
53,2020-04-23,24.0,17.0,0.0,6.919587840789372,4.901374720559138,0.0
54,2020-04-24,24.0,18.0,0.0,6.919587840789372,5.189690880592029,0.0
55,2020-04-25,23.0,19.0,0.0,6.631271680756481,5.47800704062492,0.0
56,2020-04-26,22.0,20.0,0.0,6.342955520723591,5.76632320065781,0.0
57,2020-04-27,21.0,21.0,0.0,6.0546393606907,6.0546393606907,0.0
58,2020-04-28,19.0,23.0,0.0,5.47800704062492,6.631271680756481,0.0
59,2020-04-29,19.0,23.0,0.0,5.47800704062492,6.631271680756481,0.0
60,2020-04-30,19.0,23.0,0.0,5.47800704062492,6.631271680756481,0.0
61,2020-05-01,17.0,25.0,0.0,4.901374720559138,7.207904000822262,0.0
62,2020-05-02,17.0,25.0,0.0,4.901374720559138,7.207904000822262,0.0
63,2020-05-03,16.0,26.0,0.0,4.613058560526248,7.496220160855153,0.0
64,2020-05-04,15.0,27.0,0.0,4.324742400493357,7.784536320888043,0.0
65,2020-05-05,14.0,28.0,0.0,4.036426240460467,8.072852480920934,0.0
66,2020-05-06,12.0,30.0,0.0,3.459793920394686,8.649484800986714,0.0
67,2020-05-07,12.0,30.0,0.0,3.459793920394686,8.649484800986714,0.0
68,2020-05-08,11.0,31.0,0.0,3.1714777603617956,8.937800961019606,0.0
69,2020-05-09,9.0,33.0,0.0,2.5948454402960146,9.514433281085386,0.0
70,2020-05-10,9.0,33.0,0.0,2.5948454402960146,9.514433281085386,0.0
71,2020-05-11,9.0,33.0,0.0,2.5948454402960146,9.514433281085386,0.0
72,2020-05-12,9.0,33.0,0.0,2.5948454402960146,9.514433281085386,0.0
73,2020-05-13,5.0,37.0,0.0,1.4415808001644526,10.667697921216948,0.0
74,2020-05-14,5.0,37.0,0.0,1.4415808001644526,10.667697921216948,0.0
75,2020-05-15,5.0,37.0,0.0,1.4415808001644526,10.667697921216948,0.0
76,2020-05-16,4.0,38.0,0.0,1.153264640131562,10.95601408124984,0.0
77,2020-05-17,4.0,38.0,0.0,1.153264640131562,10.95601408124984,0.0
78,2020-05-18,4.0,38.0,0.0,1.153264640131562,10.95601408124984,0.0
79,2020-05-19,4.0,38.0,0.0,1.153264640131562,10.95601408124984,0.0
80,2020-05-20,2.0,40.0,0.0,0.576632320065781,11.53264640131562,0.0
81,2020-05-21,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
82,2020-05-22,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
83,2020-05-23,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
84,2020-05-24,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
85,2020-05-25,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
86,2020-05-26,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
87,2020-05-27,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
88,2020-05-28,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
89,2020-05-29,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
90,2020-05-30,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
91,2020-05-31,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
92,2020-06-01,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
93,2020-06-02,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
94,2020-06-03,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
95,2020-06-04,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
96,2020-06-05,1.0,41.0,0.0,0.2883161600328905,11.82096256134851,0.0
97,2020-06-06,2.0,41.0,0.0,0.576632320065781,11.82096256134851,0.0
98,2020-06-07,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
99,2020-06-08,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
100,2020-06-09,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
101,2020-06-10,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
102,2020-06-11,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
103,2020-06-12,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
104,2020-06-13,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
105,2020-06-14,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
106,2020-06-15,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
107,2020-06-16,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
108,2020-06-17,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
109,2020-06-18,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
110,2020-06-19,3.0,41.0,0.0,0.8649484800986715,11.82096256134851,0.0
111,2020-06-20,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
112,2020-06-21,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
113,2020-06-22,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
114,2020-06-23,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
115,2020-06-24,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
116,2020-06-25,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
117,2020-06-26,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
118,2020-06-27,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
119,2020-06-28,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
120,2020-06-29,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
121,2020-06-30,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
122,2020-07-01,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
123,2020-07-02,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
124,2020-07-03,2.0,42.0,0.0,0.576632320065781,12.1092787213814,0.0
125,2020-07-04,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
126,2020-07-05,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
127,2020-07-06,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
128,2020-07-07,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
129,2020-07-08,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
130,2020-07-09,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
131,2020-07-10,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
132,2020-07-11,1.0,43.0,0.0,0.2883161600328905,12.397594881414292,0.0
