,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,1.0,0.0,0.0,0.46983845168206223,0.0,0.0
8,2020-03-09,1.0,0.0,0.0,0.46983845168206223,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.46983845168206223,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.46983845168206223,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.46983845168206223,0.0,0.0
12,2020-03-13,2.0,0.0,0.0,0.9396769033641245,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.9396769033641245,0.0,0.0
14,2020-03-15,4.0,0.0,0.0,1.879353806728249,0.0,0.0
15,2020-03-16,6.0,0.0,0.0,2.819030710092373,0.0,0.0
16,2020-03-17,8.0,0.0,0.0,3.758707613456498,0.0,0.0
17,2020-03-18,9.0,0.0,0.0,4.22854606513856,0.0,0.0
18,2020-03-19,13.0,0.0,0.0,6.107899871866808,0.0,0.0
19,2020-03-20,15.0,0.0,0.0,7.047576775230934,0.0,0.0
20,2020-03-21,15.0,0.0,0.0,7.047576775230934,0.0,0.0
21,2020-03-22,17.0,0.0,0.0,7.987253678595057,0.0,0.0
22,2020-03-23,19.0,0.0,0.0,8.926930581959182,0.0,0.0
23,2020-03-24,20.0,0.0,0.0,9.396769033641243,0.0,0.0
24,2020-03-25,26.0,0.0,0.0,12.215799743733616,0.0,0.0
25,2020-03-26,28.0,0.0,0.0,13.155476647097741,0.0,0.0
26,2020-03-27,29.0,0.0,0.0,13.625315098779804,0.0,0.0
27,2020-03-28,29.0,1.0,0.0,13.625315098779804,0.46983845168206223,0.0
28,2020-03-29,31.0,1.0,0.0,14.564992002143928,0.46983845168206223,0.0
29,2020-03-30,38.0,1.0,0.0,17.853861163918364,0.46983845168206223,0.0
30,2020-03-31,39.0,1.0,0.0,18.323699615600425,0.46983845168206223,0.0
31,2020-04-01,39.0,1.0,0.0,18.323699615600425,0.46983845168206223,0.0
32,2020-04-02,51.0,4.0,0.0,23.961761035785173,1.879353806728249,0.0
33,2020-04-03,60.0,4.0,0.0,28.190307100923736,1.879353806728249,0.0
34,2020-04-04,60.0,4.0,0.0,28.190307100923736,1.879353806728249,0.0
35,2020-04-05,64.0,4.0,0.0,30.069660907651983,1.879353806728249,0.0
36,2020-04-06,58.0,11.0,0.0,27.25063019755961,5.168222968502684,0.0
37,2020-04-07,51.0,19.0,0.0,23.961761035785173,8.926930581959182,0.0
38,2020-04-08,51.0,19.0,0.0,23.961761035785173,8.926930581959182,0.0
39,2020-04-09,51.0,19.0,0.0,23.961761035785173,8.926930581959182,0.0
40,2020-04-10,40.0,30.0,0.0,18.793538067282487,14.095153550461868,0.0
41,2020-04-11,40.0,30.0,0.0,18.793538067282487,14.095153550461868,0.0
42,2020-04-12,36.0,34.0,0.0,16.91418426055424,15.974507357190115,0.0
43,2020-04-13,36.0,34.0,0.0,16.91418426055424,15.974507357190115,0.0
44,2020-04-14,26.0,44.0,0.0,12.215799743733616,20.672891874010737,0.0
45,2020-04-15,25.0,45.0,0.0,11.745961292051554,21.1427303256928,0.0
46,2020-04-16,20.0,51.0,0.0,9.396769033641243,23.961761035785173,0.0
47,2020-04-17,15.0,56.0,0.0,7.047576775230934,26.310953294195482,0.0
48,2020-04-18,14.0,58.0,0.0,6.5777383235488704,27.25063019755961,0.0
49,2020-04-19,14.0,58.0,0.0,6.5777383235488704,27.25063019755961,0.0
50,2020-04-20,15.0,59.0,0.0,7.047576775230934,27.720468649241667,0.0
51,2020-04-21,13.0,62.0,0.0,6.107899871866808,29.129984004287856,0.0
52,2020-04-22,11.0,64.0,0.0,5.168222968502684,30.069660907651983,0.0
53,2020-04-23,12.0,64.0,0.0,5.638061420184746,30.069660907651983,0.0
54,2020-04-24,10.0,66.0,0.0,4.698384516820622,31.009337811016103,0.0
55,2020-04-25,10.0,66.0,0.0,4.698384516820622,31.009337811016103,0.0
56,2020-04-26,10.0,66.0,0.0,4.698384516820622,31.009337811016103,0.0
57,2020-04-27,9.0,67.0,0.0,4.22854606513856,31.479176262698168,0.0
58,2020-04-28,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
59,2020-04-29,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
60,2020-04-30,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
61,2020-05-01,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
62,2020-05-02,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
63,2020-05-03,7.0,70.0,0.0,3.2888691617744352,32.88869161774435,0.0
64,2020-05-04,6.0,71.0,0.0,2.819030710092373,33.358530069426415,0.0
65,2020-05-05,4.0,73.0,0.0,1.879353806728249,34.29820697279054,0.0
66,2020-05-06,3.0,74.0,0.0,1.4095153550461865,34.768045424472604,0.0
67,2020-05-07,3.0,74.0,0.0,1.4095153550461865,34.768045424472604,0.0
68,2020-05-08,3.0,74.0,0.0,1.4095153550461865,34.768045424472604,0.0
69,2020-05-09,3.0,74.0,0.0,1.4095153550461865,34.768045424472604,0.0
70,2020-05-10,2.0,75.0,0.0,0.9396769033641245,35.23788387615466,0.0
71,2020-05-11,2.0,75.0,0.0,0.9396769033641245,35.23788387615466,0.0
72,2020-05-12,0.0,77.0,0.0,0.0,36.17756077951879,0.0
73,2020-05-13,0.0,77.0,0.0,0.0,36.17756077951879,0.0
74,2020-05-14,0.0,77.0,0.0,0.0,36.17756077951879,0.0
75,2020-05-15,0.0,77.0,0.0,0.0,36.17756077951879,0.0
76,2020-05-16,1.0,77.0,0.0,0.46983845168206223,36.17756077951879,0.0
77,2020-05-17,1.0,77.0,0.0,0.46983845168206223,36.17756077951879,0.0
78,2020-05-18,2.0,77.0,0.0,0.9396769033641245,36.17756077951879,0.0
79,2020-05-19,2.0,77.0,0.0,0.9396769033641245,36.17756077951879,0.0
80,2020-05-20,2.0,77.0,0.0,0.9396769033641245,36.17756077951879,0.0
81,2020-05-21,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
82,2020-05-22,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
83,2020-05-23,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
84,2020-05-24,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
85,2020-05-25,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
86,2020-05-26,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
87,2020-05-27,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
88,2020-05-28,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
89,2020-05-29,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
90,2020-05-30,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
91,2020-05-31,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
92,2020-06-01,1.0,78.0,0.0,0.46983845168206223,36.64739923120085,0.0
93,2020-06-02,3.0,78.0,0.0,1.4095153550461865,36.64739923120085,0.0
94,2020-06-03,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
95,2020-06-04,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
96,2020-06-05,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
97,2020-06-06,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
98,2020-06-07,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
99,2020-06-08,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
100,2020-06-09,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
101,2020-06-10,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
102,2020-06-11,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
103,2020-06-12,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
104,2020-06-13,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
105,2020-06-14,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
106,2020-06-15,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
107,2020-06-16,7.0,78.0,0.0,3.2888691617744352,36.64739923120085,0.0
108,2020-06-17,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
109,2020-06-18,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
110,2020-06-19,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
111,2020-06-20,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
112,2020-06-21,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
113,2020-06-22,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
114,2020-06-23,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
115,2020-06-24,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
116,2020-06-25,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
117,2020-06-26,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
118,2020-06-27,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
119,2020-06-28,3.0,82.0,0.0,1.4095153550461865,38.5267530379291,0.0
120,2020-06-29,4.0,82.0,0.0,1.879353806728249,38.5267530379291,0.0
121,2020-06-30,4.0,82.0,0.0,1.879353806728249,38.5267530379291,0.0
122,2020-07-01,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
123,2020-07-02,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
124,2020-07-03,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
125,2020-07-04,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
126,2020-07-05,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
127,2020-07-06,3.0,83.0,0.0,1.4095153550461865,38.99659148961116,0.0
128,2020-07-07,2.0,84.0,0.0,0.9396769033641245,39.46642994129323,0.0
129,2020-07-08,2.0,84.0,0.0,0.9396769033641245,39.46642994129323,0.0
130,2020-07-09,2.0,84.0,0.0,0.9396769033641245,39.46642994129323,0.0
131,2020-07-10,2.0,84.0,0.0,0.9396769033641245,39.46642994129323,0.0
