,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,8.0,0.0,0.0,4.546906025854034,0.0,0.0
16,2020-03-17,8.0,0.0,0.0,4.546906025854034,0.0,0.0
17,2020-03-18,10.0,0.0,0.0,5.683632532317543,0.0,0.0
18,2020-03-19,14.0,0.0,0.0,7.95708554524456,0.0,0.0
19,2020-03-20,16.0,0.0,0.0,9.093812051708069,0.0,0.0
20,2020-03-21,20.0,0.0,0.0,11.367265064635086,0.0,0.0
21,2020-03-22,20.0,0.0,0.0,11.367265064635086,0.0,0.0
22,2020-03-23,21.0,0.0,0.0,11.93562831786684,0.0,0.0
23,2020-03-24,21.0,0.0,0.0,11.93562831786684,0.0,0.0
24,2020-03-25,22.0,0.0,0.0,12.503991571098593,0.0,0.0
25,2020-03-26,24.0,0.0,0.0,13.640718077562102,0.0,0.0
26,2020-03-27,29.0,0.0,0.0,16.482534343720875,0.0,0.0
27,2020-03-28,29.0,0.0,0.0,16.482534343720875,0.0,0.0
28,2020-03-29,30.0,0.0,0.0,17.050897596952627,0.0,0.0
29,2020-03-30,35.0,0.0,0.0,19.892713863111396,0.0,0.0
30,2020-03-31,38.0,0.0,0.0,21.597803622806662,0.0,0.0
31,2020-04-01,39.0,0.0,0.0,22.166166876038417,0.0,0.0
32,2020-04-02,42.0,1.0,0.0,23.87125663573368,0.5683632532317543,0.0
33,2020-04-03,45.0,1.0,0.0,25.576346395428942,0.5683632532317543,0.0
34,2020-04-04,45.0,1.0,0.0,25.576346395428942,0.5683632532317543,0.0
35,2020-04-05,49.0,1.0,0.0,27.84979940835596,0.5683632532317543,0.0
36,2020-04-06,53.0,1.0,0.0,30.123252421282977,0.5683632532317543,0.0
37,2020-04-07,57.0,5.0,0.0,32.39670543420999,2.8418162661587716,0.0
38,2020-04-08,61.0,5.0,0.0,34.67015844713701,2.8418162661587716,0.0
39,2020-04-09,63.0,5.0,0.0,35.806884953600516,2.8418162661587716,0.0
40,2020-04-10,68.0,5.0,0.0,38.64870121975929,2.8418162661587716,0.0
41,2020-04-11,66.0,9.0,0.0,37.51197471329578,5.115269279085789,0.0
42,2020-04-12,67.0,9.0,0.0,38.08033796652753,5.115269279085789,0.0
43,2020-04-13,67.0,10.0,0.0,38.08033796652753,5.683632532317543,0.0
44,2020-04-14,65.0,12.0,0.0,36.94361146006403,6.820359038781051,0.0
45,2020-04-15,65.0,13.0,0.0,36.94361146006403,7.388722292012806,0.0
46,2020-04-16,62.0,18.0,0.0,35.238521700368764,10.230538558171578,0.0
47,2020-04-17,58.0,22.0,0.0,32.96506868744175,12.503991571098593,0.0
48,2020-04-18,56.0,24.0,0.0,31.82834218097824,13.640718077562102,0.0
49,2020-04-19,55.0,25.0,0.0,31.259978927746488,14.209081330793856,0.0
50,2020-04-20,54.0,26.0,0.0,30.69161567451473,14.777444584025613,0.0
51,2020-04-21,54.0,27.0,0.0,30.69161567451473,15.345807837257365,0.0
52,2020-04-22,48.0,33.0,0.0,27.281436155124204,18.75598735664789,0.0
53,2020-04-23,47.0,36.0,0.0,26.71307290189245,20.461077116343155,0.0
54,2020-04-24,37.0,47.0,0.0,21.02944036957491,26.71307290189245,0.0
55,2020-04-25,33.0,51.0,0.0,18.75598735664789,28.986525914819467,0.0
56,2020-04-26,31.0,53.0,0.0,17.619260850184382,30.123252421282977,0.0
57,2020-04-27,31.0,53.0,0.0,17.619260850184382,30.123252421282977,0.0
58,2020-04-28,28.0,55.0,1.0,15.91417109048912,31.259978927746488,0.5683632532317543
59,2020-04-29,24.0,59.0,1.0,13.640718077562102,33.5334319406735,0.5683632532317543
60,2020-04-30,24.0,59.0,1.0,13.640718077562102,33.5334319406735,0.5683632532317543
61,2020-05-01,20.0,63.0,1.0,11.367265064635086,35.806884953600516,0.5683632532317543
62,2020-05-02,15.0,68.0,1.0,8.525448798476313,38.64870121975929,0.5683632532317543
63,2020-05-03,15.0,68.0,1.0,8.525448798476313,38.64870121975929,0.5683632532317543
64,2020-05-04,15.0,68.0,1.0,8.525448798476313,38.64870121975929,0.5683632532317543
65,2020-05-05,15.0,69.0,1.0,8.525448798476313,39.21706447299104,0.5683632532317543
66,2020-05-06,16.0,69.0,1.0,9.093812051708069,39.21706447299104,0.5683632532317543
67,2020-05-07,15.0,70.0,1.0,8.525448798476313,39.78542772622279,0.5683632532317543
68,2020-05-08,15.0,70.0,1.0,8.525448798476313,39.78542772622279,0.5683632532317543
69,2020-05-09,10.0,75.0,1.0,5.683632532317543,42.62724399238157,0.5683632532317543
70,2020-05-10,10.0,75.0,1.0,5.683632532317543,42.62724399238157,0.5683632532317543
71,2020-05-11,9.0,76.0,1.0,5.115269279085789,43.195607245613324,0.5683632532317543
72,2020-05-12,8.0,77.0,1.0,4.546906025854034,43.76397049884508,0.5683632532317543
73,2020-05-13,8.0,78.0,1.0,4.546906025854034,44.332333752076835,0.5683632532317543
74,2020-05-14,8.0,78.0,1.0,4.546906025854034,44.332333752076835,0.5683632532317543
75,2020-05-15,6.0,80.0,1.0,3.4101795193905255,45.469060258540345,0.5683632532317543
76,2020-05-16,6.0,80.0,1.0,3.4101795193905255,45.469060258540345,0.5683632532317543
77,2020-05-17,6.0,80.0,1.0,3.4101795193905255,45.469060258540345,0.5683632532317543
78,2020-05-18,6.0,80.0,1.0,3.4101795193905255,45.469060258540345,0.5683632532317543
79,2020-05-19,7.0,80.0,1.0,3.97854277262228,45.469060258540345,0.5683632532317543
80,2020-05-20,5.0,82.0,1.0,2.8418162661587716,46.60578676500385,0.5683632532317543
81,2020-05-21,5.0,83.0,1.0,2.8418162661587716,47.17415001823561,0.5683632532317543
82,2020-05-22,5.0,83.0,1.0,2.8418162661587716,47.17415001823561,0.5683632532317543
83,2020-05-23,5.0,83.0,1.0,2.8418162661587716,47.17415001823561,0.5683632532317543
84,2020-05-24,5.0,83.0,1.0,2.8418162661587716,47.17415001823561,0.5683632532317543
85,2020-05-25,5.0,83.0,1.0,2.8418162661587716,47.17415001823561,0.5683632532317543
86,2020-05-26,4.0,84.0,1.0,2.273453012927017,47.74251327146736,0.5683632532317543
87,2020-05-27,3.0,85.0,1.0,1.7050897596952628,48.31087652469911,0.5683632532317543
88,2020-05-28,3.0,85.0,1.0,1.7050897596952628,48.31087652469911,0.5683632532317543
89,2020-05-29,3.0,85.0,1.0,1.7050897596952628,48.31087652469911,0.5683632532317543
90,2020-05-30,3.0,85.0,1.0,1.7050897596952628,48.31087652469911,0.5683632532317543
91,2020-05-31,3.0,85.0,1.0,1.7050897596952628,48.31087652469911,0.5683632532317543
92,2020-06-01,2.0,86.0,1.0,1.1367265064635086,48.87923977793087,0.5683632532317543
93,2020-06-02,2.0,86.0,1.0,1.1367265064635086,48.87923977793087,0.5683632532317543
94,2020-06-03,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
95,2020-06-04,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
96,2020-06-05,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
97,2020-06-06,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
98,2020-06-07,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
99,2020-06-08,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
100,2020-06-09,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
101,2020-06-10,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
102,2020-06-11,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
103,2020-06-12,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
104,2020-06-13,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
105,2020-06-14,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
106,2020-06-15,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
107,2020-06-16,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
108,2020-06-17,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
109,2020-06-18,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
110,2020-06-19,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
111,2020-06-20,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
112,2020-06-21,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
113,2020-06-22,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
114,2020-06-23,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
115,2020-06-24,0.0,88.0,1.0,0.0,50.01596628439437,0.5683632532317543
116,2020-06-25,1.0,88.0,1.0,0.5683632532317543,50.01596628439437,0.5683632532317543
117,2020-06-26,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
118,2020-06-27,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
119,2020-06-28,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
120,2020-06-29,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
121,2020-06-30,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
122,2020-07-01,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
123,2020-07-02,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
124,2020-07-03,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
125,2020-07-04,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
126,2020-07-05,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
127,2020-07-06,2.0,88.0,1.0,1.1367265064635086,50.01596628439437,0.5683632532317543
