,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.6197198656769176,0.0,0.0
11,2020-03-12,1.0,0.0,0.0,0.6197198656769176,0.0,0.0
12,2020-03-13,2.0,0.0,0.0,1.2394397313538352,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,1.2394397313538352,0.0,0.0
14,2020-03-15,3.0,0.0,0.0,1.859159597030753,0.0,0.0
15,2020-03-16,3.0,0.0,0.0,1.859159597030753,0.0,0.0
16,2020-03-17,4.0,0.0,0.0,2.4788794627076705,0.0,0.0
17,2020-03-18,5.0,0.0,0.0,3.098599328384588,0.0,0.0
18,2020-03-19,5.0,0.0,0.0,3.098599328384588,0.0,0.0
19,2020-03-20,5.0,0.0,0.0,3.098599328384588,0.0,0.0
20,2020-03-21,6.0,0.0,0.0,3.718319194061506,0.0,0.0
21,2020-03-22,6.0,0.0,0.0,3.718319194061506,0.0,0.0
22,2020-03-23,6.0,0.0,0.0,3.718319194061506,0.0,0.0
23,2020-03-24,6.0,0.0,0.0,3.718319194061506,0.0,0.0
24,2020-03-25,9.0,0.0,0.0,5.5774787910922585,0.0,0.0
25,2020-03-26,12.0,0.0,0.0,7.436638388123012,0.0,0.0
26,2020-03-27,14.0,0.0,0.0,8.676078119476848,0.0,0.0
27,2020-03-28,20.0,0.0,0.0,12.394397313538352,0.0,0.0
28,2020-03-29,27.0,0.0,0.0,16.732436373276776,0.0,0.0
29,2020-03-30,28.0,0.0,0.0,17.352156238953697,0.0,0.0
30,2020-03-31,41.0,2.0,0.0,25.408514492753625,1.2394397313538352,0.0
31,2020-04-01,46.0,2.0,0.0,28.507113821138216,1.2394397313538352,0.0
32,2020-04-02,48.0,2.0,0.0,29.74655355249205,1.2394397313538352,0.0
33,2020-04-03,51.0,2.0,0.0,31.605713149522803,1.2394397313538352,0.0
34,2020-04-04,53.0,2.0,0.0,32.84515288087664,1.2394397313538352,0.0
35,2020-04-05,56.0,2.0,0.0,34.70431247790739,1.2394397313538352,0.0
36,2020-04-06,57.0,2.0,0.0,35.32403234358431,1.2394397313538352,0.0
37,2020-04-07,61.0,5.0,0.0,37.80291180629198,3.098599328384588,0.0
38,2020-04-08,61.0,5.0,0.0,37.80291180629198,3.098599328384588,0.0
39,2020-04-09,59.0,7.0,0.0,36.56347207493814,4.338039059738424,0.0
40,2020-04-10,56.0,10.0,0.0,34.70431247790739,6.197198656769176,0.0
41,2020-04-11,58.0,11.0,0.0,35.94375220926123,6.816918522446094,0.0
42,2020-04-12,58.0,11.0,0.0,35.94375220926123,6.816918522446094,0.0
43,2020-04-13,57.0,12.0,0.0,35.32403234358431,7.436638388123012,0.0
44,2020-04-14,58.0,14.0,0.0,35.94375220926123,8.676078119476848,0.0
45,2020-04-15,53.0,23.0,0.0,32.84515288087664,14.253556910569108,0.0
46,2020-04-16,52.0,24.0,0.0,32.22543301519972,14.873276776246025,0.0
47,2020-04-17,48.0,28.0,0.0,29.74655355249205,17.352156238953697,0.0
48,2020-04-18,45.0,32.0,0.0,27.88739395546129,19.831035701661364,0.0
49,2020-04-19,46.0,33.0,0.0,28.507113821138216,20.450755567338284,0.0
50,2020-04-20,42.0,37.0,0.0,26.02823435843054,22.929635030045954,0.0
51,2020-04-21,39.0,39.0,1.0,24.169074761399788,24.169074761399788,0.6197198656769176
52,2020-04-22,37.0,41.0,1.0,22.929635030045954,25.408514492753625,0.6197198656769176
53,2020-04-23,36.0,42.0,1.0,22.309915164369034,26.02823435843054,0.6197198656769176
54,2020-04-24,35.0,43.0,1.0,21.690195298692117,26.64795422410746,0.6197198656769176
55,2020-04-25,35.0,43.0,1.0,21.690195298692117,26.64795422410746,0.6197198656769176
56,2020-04-26,33.0,45.0,1.0,20.450755567338284,27.88739395546129,0.6197198656769176
57,2020-04-27,30.0,48.0,1.0,18.59159597030753,29.74655355249205,0.6197198656769176
58,2020-04-28,28.0,50.0,1.0,17.352156238953697,30.985993283845886,0.6197198656769176
59,2020-04-29,23.0,55.0,1.0,14.253556910569108,34.08459261223047,0.6197198656769176
60,2020-04-30,22.0,56.0,1.0,13.633837044892188,34.70431247790739,0.6197198656769176
61,2020-05-01,22.0,56.0,1.0,13.633837044892188,34.70431247790739,0.6197198656769176
62,2020-05-02,21.0,58.0,1.0,13.01411717921527,35.94375220926123,0.6197198656769176
63,2020-05-03,20.0,59.0,1.0,12.394397313538352,36.56347207493814,0.6197198656769176
64,2020-05-04,20.0,59.0,1.0,12.394397313538352,36.56347207493814,0.6197198656769176
65,2020-05-05,20.0,59.0,1.0,12.394397313538352,36.56347207493814,0.6197198656769176
66,2020-05-06,19.0,60.0,1.0,11.774677447861436,37.18319194061506,0.6197198656769176
67,2020-05-07,17.0,62.0,1.0,10.5352377165076,38.422631671968894,0.6197198656769176
68,2020-05-08,17.0,62.0,1.0,10.5352377165076,38.422631671968894,0.6197198656769176
69,2020-05-09,13.0,66.0,1.0,8.05635825379993,40.90151113467657,0.6197198656769176
70,2020-05-10,12.0,67.0,1.0,7.436638388123012,41.52123100035348,0.6197198656769176
71,2020-05-11,11.0,68.0,1.0,6.816918522446094,42.1409508660304,0.6197198656769176
72,2020-05-12,10.0,69.0,1.0,6.197198656769176,42.76067073170732,0.6197198656769176
73,2020-05-13,9.0,70.0,1.0,5.5774787910922585,43.380390597384235,0.6197198656769176
74,2020-05-14,9.0,70.0,1.0,5.5774787910922585,43.380390597384235,0.6197198656769176
75,2020-05-15,8.0,71.0,1.0,4.957758925415341,44.000110463061155,0.6197198656769176
76,2020-05-16,9.0,71.0,1.0,5.5774787910922585,44.000110463061155,0.6197198656769176
77,2020-05-17,9.0,71.0,1.0,5.5774787910922585,44.000110463061155,0.6197198656769176
78,2020-05-18,10.0,71.0,1.0,6.197198656769176,44.000110463061155,0.6197198656769176
79,2020-05-19,9.0,72.0,1.0,5.5774787910922585,44.61983032873807,0.6197198656769176
80,2020-05-20,7.0,74.0,1.0,4.338039059738424,45.85927006009191,0.6197198656769176
81,2020-05-21,6.0,75.0,1.0,3.718319194061506,46.47898992576882,0.6197198656769176
82,2020-05-22,6.0,75.0,1.0,3.718319194061506,46.47898992576882,0.6197198656769176
83,2020-05-23,5.0,76.0,1.0,3.098599328384588,47.09870979144574,0.6197198656769176
84,2020-05-24,5.0,76.0,1.0,3.098599328384588,47.09870979144574,0.6197198656769176
85,2020-05-25,5.0,76.0,1.0,3.098599328384588,47.09870979144574,0.6197198656769176
86,2020-05-26,4.0,77.0,1.0,2.4788794627076705,47.71842965712266,0.6197198656769176
87,2020-05-27,4.0,77.0,1.0,2.4788794627076705,47.71842965712266,0.6197198656769176
88,2020-05-28,4.0,77.0,1.0,2.4788794627076705,47.71842965712266,0.6197198656769176
89,2020-05-29,4.0,77.0,1.0,2.4788794627076705,47.71842965712266,0.6197198656769176
90,2020-05-30,3.0,78.0,1.0,1.859159597030753,48.338149522799576,0.6197198656769176
91,2020-05-31,3.0,78.0,1.0,1.859159597030753,48.338149522799576,0.6197198656769176
92,2020-06-01,3.0,78.0,1.0,1.859159597030753,48.338149522799576,0.6197198656769176
93,2020-06-02,2.0,79.0,1.0,1.2394397313538352,48.957869388476496,0.6197198656769176
94,2020-06-03,2.0,79.0,1.0,1.2394397313538352,48.957869388476496,0.6197198656769176
95,2020-06-04,2.0,79.0,1.0,1.2394397313538352,48.957869388476496,0.6197198656769176
96,2020-06-05,2.0,79.0,1.0,1.2394397313538352,48.957869388476496,0.6197198656769176
97,2020-06-06,2.0,79.0,1.0,1.2394397313538352,48.957869388476496,0.6197198656769176
98,2020-06-07,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
99,2020-06-08,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
100,2020-06-09,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
101,2020-06-10,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
102,2020-06-11,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
103,2020-06-12,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
104,2020-06-13,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
105,2020-06-14,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
106,2020-06-15,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
107,2020-06-16,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
108,2020-06-17,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
109,2020-06-18,1.0,80.0,1.0,0.6197198656769176,49.57758925415341,0.6197198656769176
110,2020-06-19,0.0,80.0,2.0,0.0,49.57758925415341,1.2394397313538352
111,2020-06-20,0.0,80.0,2.0,0.0,49.57758925415341,1.2394397313538352
112,2020-06-21,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
113,2020-06-22,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
114,2020-06-23,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
115,2020-06-24,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
116,2020-06-25,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
117,2020-06-26,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
118,2020-06-27,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
119,2020-06-28,1.0,80.0,2.0,0.6197198656769176,49.57758925415341,1.2394397313538352
120,2020-06-29,2.0,80.0,2.0,1.2394397313538352,49.57758925415341,1.2394397313538352
121,2020-06-30,3.0,80.0,2.0,1.859159597030753,49.57758925415341,1.2394397313538352
122,2020-07-01,8.0,80.0,2.0,4.957758925415341,49.57758925415341,1.2394397313538352
123,2020-07-02,11.0,80.0,2.0,6.816918522446094,49.57758925415341,1.2394397313538352
