,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,2.0,0.0,0.0,0.8116491370205872,0.0,0.0
15,2020-03-16,6.0,0.0,0.0,2.4349474110617613,0.0,0.0
16,2020-03-17,7.0,0.0,0.0,2.8407719795720547,0.0,0.0
17,2020-03-18,8.0,0.0,0.0,3.2465965480823487,0.0,0.0
18,2020-03-19,9.0,0.0,0.0,3.652421116592642,0.0,0.0
19,2020-03-20,9.0,0.0,0.0,3.652421116592642,0.0,0.0
20,2020-03-21,9.0,0.0,0.0,3.652421116592642,0.0,0.0
21,2020-03-22,9.0,0.0,0.0,3.652421116592642,0.0,0.0
22,2020-03-23,10.0,0.0,0.0,4.058245685102936,0.0,0.0
23,2020-03-24,11.0,0.0,0.0,4.464070253613229,0.0,0.0
24,2020-03-25,11.0,0.0,0.0,4.464070253613229,0.0,0.0
25,2020-03-26,12.0,0.0,0.0,4.8698948221235225,0.0,0.0
26,2020-03-27,12.0,0.0,0.0,4.8698948221235225,0.0,0.0
27,2020-03-28,13.0,0.0,0.0,5.2757193906338165,0.0,0.0
28,2020-03-29,13.0,0.0,0.0,5.2757193906338165,0.0,0.0
29,2020-03-30,12.0,1.0,0.0,4.8698948221235225,0.4058245685102936,0.0
30,2020-03-31,15.0,1.0,0.0,6.0873685276544025,0.4058245685102936,0.0
31,2020-04-01,9.0,7.0,0.0,3.652421116592642,2.8407719795720547,0.0
32,2020-04-02,10.0,8.0,0.0,4.058245685102936,3.2465965480823487,0.0
33,2020-04-03,10.0,9.0,0.0,4.058245685102936,3.652421116592642,0.0
34,2020-04-04,12.0,9.0,0.0,4.8698948221235225,3.652421116592642,0.0
35,2020-04-05,12.0,9.0,0.0,4.8698948221235225,3.652421116592642,0.0
36,2020-04-06,12.0,9.0,0.0,4.8698948221235225,3.652421116592642,0.0
37,2020-04-07,11.0,10.0,0.0,4.464070253613229,4.058245685102936,0.0
38,2020-04-08,12.0,10.0,0.0,4.8698948221235225,4.058245685102936,0.0
39,2020-04-09,12.0,10.0,0.0,4.8698948221235225,4.058245685102936,0.0
40,2020-04-10,12.0,10.0,0.0,4.8698948221235225,4.058245685102936,0.0
41,2020-04-11,12.0,10.0,0.0,4.8698948221235225,4.058245685102936,0.0
42,2020-04-12,11.0,10.0,1.0,4.464070253613229,4.058245685102936,0.4058245685102936
43,2020-04-13,11.0,10.0,1.0,4.464070253613229,4.058245685102936,0.4058245685102936
44,2020-04-14,11.0,10.0,1.0,4.464070253613229,4.058245685102936,0.4058245685102936
45,2020-04-15,10.0,11.0,1.0,4.058245685102936,4.464070253613229,0.4058245685102936
46,2020-04-16,8.0,13.0,1.0,3.2465965480823487,5.2757193906338165,0.4058245685102936
47,2020-04-17,8.0,13.0,1.0,3.2465965480823487,5.2757193906338165,0.4058245685102936
48,2020-04-18,8.0,13.0,1.0,3.2465965480823487,5.2757193906338165,0.4058245685102936
49,2020-04-19,6.0,14.0,2.0,2.4349474110617613,5.6815439591441095,0.8116491370205872
50,2020-04-20,4.0,16.0,2.0,1.6232982740411743,6.493193096164697,0.8116491370205872
51,2020-04-21,3.0,17.0,2.0,1.2174737055308806,6.8990176646749894,0.8116491370205872
52,2020-04-22,3.0,17.0,2.0,1.2174737055308806,6.8990176646749894,0.8116491370205872
53,2020-04-23,3.0,17.0,2.0,1.2174737055308806,6.8990176646749894,0.8116491370205872
54,2020-04-24,3.0,17.0,2.0,1.2174737055308806,6.8990176646749894,0.8116491370205872
55,2020-04-25,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
56,2020-04-26,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
57,2020-04-27,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
58,2020-04-28,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
59,2020-04-29,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
60,2020-04-30,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
61,2020-05-01,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
62,2020-05-02,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
63,2020-05-03,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
64,2020-05-04,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
65,2020-05-05,4.0,17.0,2.0,1.6232982740411743,6.8990176646749894,0.8116491370205872
66,2020-05-06,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
67,2020-05-07,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
68,2020-05-08,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
69,2020-05-09,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
70,2020-05-10,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
71,2020-05-11,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
72,2020-05-12,3.0,18.0,2.0,1.2174737055308806,7.304842233185284,0.8116491370205872
73,2020-05-13,2.0,19.0,2.0,0.8116491370205872,7.710666801695578,0.8116491370205872
74,2020-05-14,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
75,2020-05-15,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
76,2020-05-16,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
77,2020-05-17,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
78,2020-05-18,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
79,2020-05-19,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
80,2020-05-20,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
81,2020-05-21,3.0,19.0,2.0,1.2174737055308806,7.710666801695578,0.8116491370205872
82,2020-05-22,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
83,2020-05-23,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
84,2020-05-24,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
85,2020-05-25,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
86,2020-05-26,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
87,2020-05-27,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
88,2020-05-28,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
89,2020-05-29,2.0,20.0,2.0,0.8116491370205872,8.116491370205871,0.8116491370205872
90,2020-05-30,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
91,2020-05-31,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
92,2020-06-01,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
93,2020-06-02,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
94,2020-06-03,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
95,2020-06-04,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
96,2020-06-05,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
97,2020-06-06,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
98,2020-06-07,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
99,2020-06-08,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
100,2020-06-09,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
101,2020-06-10,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
102,2020-06-11,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
103,2020-06-12,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
104,2020-06-13,1.0,21.0,2.0,0.4058245685102936,8.522315938716165,0.8116491370205872
105,2020-06-14,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
106,2020-06-15,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
107,2020-06-16,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
108,2020-06-17,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
109,2020-06-18,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
110,2020-06-19,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
111,2020-06-20,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
112,2020-06-21,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
113,2020-06-22,2.0,21.0,2.0,0.8116491370205872,8.522315938716165,0.8116491370205872
114,2020-06-23,1.0,22.0,2.0,0.4058245685102936,8.928140507226457,0.8116491370205872
115,2020-06-24,1.0,22.0,2.0,0.4058245685102936,8.928140507226457,0.8116491370205872
116,2020-06-25,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
117,2020-06-26,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
118,2020-06-27,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
119,2020-06-28,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
120,2020-06-29,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
121,2020-06-30,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
122,2020-07-01,0.0,23.0,2.0,0.0,9.333965075736751,0.8116491370205872
